,sec,average_accu_orders
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.12701257812621766
55,55,0.24432190024568443
56,56,0.2764772072344043
57,57,0.4277817150956766
58,58,0.615500727282707
59,59,0.7140501857052272
60,60,0.8669591661443459
61,61,1.0734143864752859
62,62,1.1503291271595257
63,63,1.229171311922867
64,64,1.3041361361207435
65,65,1.3791009603186197
66,66,1.454065784516496
67,67,1.5290306087143726
68,68,1.6039954329122488
69,69,1.4586867105885781
70,70,1.630064271886349
71,71,1.8821504139211733
72,72,2.4419939689583257
73,73,3.039179040126987
74,74,4.262257295859285
75,75,4.780592458108711
76,76,5.265533840492726
77,77,5.365894570093472
78,78,5.586296591052968
79,79,5.949371746163887
80,80,6.182759454100356
81,81,6.505980859799373
82,82,6.735313387123928
83,83,6.960370813511322
84,84,7.397754066336461
85,85,7.671915605560169
86,86,7.742371392901204
87,87,8.34023194083688
88,88,8.903199551888607
89,89,10.050260847943042
90,90,10.587008015774193
91,91,11.638691035096215
92,92,13.307704624064678
93,93,13.937708414794583
94,94,14.55647322628877
95,95,15.143554051777201
96,96,15.805861154437315
97,97,16.016141021783607
98,98,16.226420889129898
99,99,16.436700756476192
100,100,18.061688178394252
101,101,18.66970040703023
102,102,20.011645863898757
103,103,22.494892068006585
104,104,24.23710343680625
105,105,25.821754884286857
106,106,28.213396681749654
107,107,29.40143599119106
108,108,30.721620254084016
109,109,32.31297660291692
110,110,33.8813347557086
111,111,35.356134394740536
112,112,36.40776622890411
113,113,38.182439360160814
114,114,39.82884332605774
115,115,41.0137861980242
116,116,42.116614037484545
117,117,44.20154187153167
118,118,45.950811272540165
119,119,48.7203795592095
120,120,50.59450711170825
121,121,53.37674187846299
122,122,56.823701311715
123,123,58.570023299182175
124,124,60.49426383406443
125,125,61.72416029647351
126,126,63.64576260770888
127,127,65.95397956744331
128,128,69.2919103585753
129,129,72.56162025815678
130,130,74.80854275327577
131,131,77.46471380569619
132,132,78.64163382865242
133,133,80.83425826318812
134,134,83.64186341042935
135,135,85.04537360656313
136,136,87.75849887060085
137,137,90.66720575708369
138,138,93.4289166477803
139,139,96.10222047421757
140,140,98.09531911169636
141,141,100.69582561163448
142,142,103.55735897749659
143,143,106.35870617756483
144,144,109.28835111899741
145,145,111.51524881054817
146,146,114.02255479924429
147,147,116.31306760580827
148,148,118.06300164756446
149,149,119.59870395900144
150,150,120.74094271604497
151,151,122.61990172614364
152,152,124.07929123265559
153,153,126.32205740928626
154,154,128.9432263182281
155,155,130.94152732597618
156,156,133.67685397843948
157,157,136.20903144971953
158,158,137.74875089027216
159,159,140.87312465279675
160,160,143.5850394681728
161,161,145.29860265183527
162,162,148.033235932172
163,163,150.26441770102156
164,164,151.94684149344184
165,165,154.8076581510951
166,166,157.97701559411726
167,167,162.0575889257132
168,168,165.45656972909967
169,169,167.4332562258007
170,170,170.46170189247678
171,171,173.21726011076746
172,172,176.57440834668574
173,173,179.8926579876148
174,174,183.98023646636662
175,175,187.1491552932826
176,176,190.61397025730238
177,177,194.20287357536372
178,178,199.9265026769144
179,179,204.35904702833025
180,180,208.31050236996268
181,181,213.25093852152972
182,182,217.86060560776582
183,183,221.82031428676126
184,184,227.5505987005875
185,185,231.60291052411253
186,186,234.20414762986442
187,187,236.93217124898356
188,188,242.2807938746971
189,189,248.3067787539105
190,190,255.41326789451358
191,191,263.208421790579
192,192,269.3768582285176
193,193,273.72875231464053
194,194,278.7295259639559
195,195,282.67469917034555
196,196,286.49158507744437
197,197,293.5115147071157
198,198,298.55660032838955
199,199,303.2035999105661
200,200,307.0121195863265
201,201,310.785571823288
202,202,314.0653326715959
203,203,318.2030412096973
204,204,322.1700601550204
205,205,326.6428731308872
206,206,332.1175076302934
207,207,336.67134133784634
208,208,339.578690230536
209,209,343.74867483730065
210,210,346.4502643975871
211,211,349.98643895738775
212,212,353.8418707036246
213,213,357.93096414478504
214,214,362.994145367111
215,215,367.6108158744139
216,216,370.78271356360983
217,217,373.9795158243155
218,218,379.7903159456636
219,219,383.50981409942295
220,220,387.21564995957135
221,221,390.4199186230627
222,222,394.8887091551106
223,223,399.7646350528959
224,224,405.1031816483426
225,225,409.35825521245425
226,226,413.2163968737327
227,227,417.77934594714975
228,228,422.1921601610598
229,229,427.54499186580824
230,230,431.2971616762645
231,231,436.39886493345017
232,232,439.66685972310415
233,233,443.02529644519757
234,234,445.84113277293625
235,235,449.9197366710915
236,236,455.0575760059728
237,237,460.15694040735855
238,238,463.963273660213
239,239,468.18781131015504
240,240,473.2999693850676
241,241,478.6927113157954
242,242,483.35093393130535
243,243,487.3867125139951
244,244,491.8264918272196
245,245,496.77843753757605
246,246,502.2894706867435
247,247,506.6068958287899
248,248,511.4369404966398
249,249,515.5424575257829
250,250,521.2625091000737
251,251,527.9839234612202
252,252,534.6838308895449
253,253,539.5319438760977
254,254,544.7418774632307
255,255,551.4869763724566
256,256,556.8543272938157
257,257,562.1850963353085
258,258,568.6270167952325
259,259,575.8317758013777
260,260,582.2319108116185
261,261,587.6943033662731
262,262,592.5349134964187
263,263,597.578877625104
264,264,601.9822928767593
265,265,605.1512240086983
266,266,608.5271107089508
267,267,612.9353904700569
268,268,617.0626710818754
269,269,621.281927894173
270,270,627.3042677821087
271,271,633.5199545705697
272,272,636.7211888525935
273,273,642.0797004329378
274,274,646.6480280852712
275,275,648.9492559906754
276,276,652.0137888953179
277,277,655.516204521604
278,278,660.8783869107041
279,279,665.746723541208
280,280,670.8343131508902
281,281,677.528623799222
282,282,681.3306377556034
283,283,685.3867802620832
284,284,689.9259529549422
285,285,692.748359940094
286,286,696.5305654744054
287,287,701.9920590122794
288,288,705.4886977682816
289,289,709.623808313144
290,290,713.5715514694405
291,291,718.2698112805851
292,292,721.6546540077683
293,293,725.7284069933202
294,294,729.9672990430016
295,295,734.5852342834365
296,296,737.9830939679333
297,297,741.6310974650826
298,298,746.735310437637
299,299,754.2361055526477
300,300,759.4157581395353
301,301,764.1146734970489
302,302,769.1848198436661
303,303,777.2419618998707
304,304,785.7845889147894
305,305,793.4867660516659
306,306,798.3620659103714
307,307,803.3354693897265
308,308,808.1128862839237
309,309,811.7563053688086
310,310,817.1660017525586
311,311,820.7677679205557
312,312,826.2234231812113
313,313,829.0534410956041
314,314,832.7570634636387
315,315,836.1376258522944
316,316,839.1919507607712
317,317,844.6263929026651
318,318,851.7907255301608
319,319,856.9126552507253
320,320,863.9136404142547
321,321,869.6297475363763
322,322,875.0613930160523
323,323,878.4635297726883
324,324,885.3580495577208
325,325,892.0445862934378
326,326,897.2000117479206
327,327,903.2869804350138
328,328,910.7141309804804
329,329,916.9057380127668
330,330,922.7496991072612
331,331,929.288620817118
332,332,932.2079743026461
333,333,935.3160167666649
334,334,938.7358094370445
335,335,942.6617327616372
336,336,945.9791471247082
337,337,950.740565108327
338,338,955.1093652413938
339,339,958.4865965940604
340,340,962.4676235688796
341,341,967.4698143039183
342,342,973.3741338620583
343,343,980.3931664331567
344,344,989.7766148591421
345,345,995.012878220885
346,346,999.6995171013116
347,347,1007.0468391145514
348,348,1014.4531056307997
349,349,1022.8918523874189
350,350,1028.9611713738168
351,351,1035.0567939944808
352,352,1038.984402606468
353,353,1043.7895768280391
354,354,1049.4839588368377
355,355,1055.0597763510664
356,356,1060.1431067232163
357,357,1066.0588034892082
358,358,1072.6423175341822
359,359,1078.9132478608944
360,360,1084.165281368541
361,361,1090.13978977666
362,362,1095.74731673124
363,363,1102.393922545224
364,364,1106.9971195817327
365,365,1111.9410666252393
366,366,1116.8265294301884
367,367,1120.7200424612001
368,368,1123.016270046882
369,369,1130.7116993837717
370,370,1138.6113664158622
371,371,1149.1431258004382
372,372,1156.0153812555184
373,373,1163.647430677457
374,374,1170.3054167769196
375,375,1176.3571519754425
376,376,1181.5081747749232
377,377,1188.4493512415768
378,378,1194.538479206231
379,379,1199.7885327743575
380,380,1205.9276806126225
381,381,1212.2589941558115
382,382,1216.1173029366023
383,383,1220.9275297613651
384,384,1225.102767171171
385,385,1229.3173983558709
386,386,1233.84608745518
387,387,1238.3484162868917
388,388,1242.313591811755
389,389,1245.3954440769996
390,390,1247.0960636036148
391,391,1249.8836926004922
392,392,1254.2010685768093
393,393,1260.2645306256593
394,394,1264.2859517045486
395,395,1268.9372150567847
396,396,1274.8347913626678
397,397,1278.8562100174117
398,398,1281.8680968659612
399,399,1285.669522145739
400,400,1293.0208529553886
401,401,1298.8667048180087
402,402,1304.8954615652742
403,403,1310.5812871779801
404,404,1313.8997774235015
405,405,1319.0858737273054
406,406,1324.198515548116
407,407,1328.902435236751
408,408,1333.5233754615617
409,409,1337.4739620369453
410,410,1343.7965155068796
411,411,1350.2733577888976
412,412,1358.7550117064468
413,413,1365.6316406769731
414,414,1373.2345709329086
415,415,1378.249747784899
416,416,1382.4070099223727
417,417,1387.0906931078962
418,418,1393.7756236385567
419,419,1399.5356784972012
420,420,1403.3436271674952
421,421,1406.7426732116153
422,422,1410.8454002720923
423,423,1415.9741046258264
424,424,1423.33327581866
425,425,1430.395635441732
426,426,1435.5017180487237
427,427,1439.4755523194044
428,428,1443.0832866751803
429,429,1446.8759668624564
430,430,1451.309190401311
431,431,1456.2487374040986
432,432,1460.552641603653
433,433,1465.9020871226035
434,434,1470.497071708101
435,435,1476.0336279180424
436,436,1478.799295863348
437,437,1482.382961332318
438,438,1487.1785129224509
439,439,1492.304559126146
440,440,1496.8341490027842
441,441,1501.9239573191683
442,442,1508.9420021628164
443,443,1513.8840246256414
444,444,1520.3006488962626
445,445,1525.490905674326
446,446,1530.143296672355
447,447,1535.7833707524815
448,448,1541.0649815354645
449,449,1544.5879535213467
450,450,1548.3177974146058
451,451,1551.7701603515648
452,452,1555.6883942481122
453,453,1559.0198368466163
454,454,1562.5167125035932
455,455,1567.1416315245285
456,456,1570.832193275733
457,457,1576.0167830598748
458,458,1579.131926792139
459,459,1583.6980439141023
460,460,1587.334852751406
461,461,1591.9726141213569
462,462,1598.847307475415
463,463,1605.2527125444321
464,464,1612.6622786492162
465,465,1617.9446657901171
466,466,1622.250927917568
