,sec,average_profit
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.23843039551541595
65,65,0.4875739644970417
66,66,0.7367175334786673
67,67,0.985861102460293
68,68,1.2350046714419187
69,69,1.4841482404235442
70,70,1.7332918094051701
71,71,1.9824353783867958
72,72,2.2315789473684218
73,73,2.4807225163500473
74,74,2.729866085331673
75,75,2.9790096543132987
76,76,3.228153223294924
77,77,3.4772967922765505
78,78,3.726440361258176
79,79,3.975583930239802
80,80,4.2247274992214265
81,81,4.473871068203053
82,82,4.723014637184678
83,83,4.972158206166304
84,84,5.221301775147929
85,85,5.206051893561287
86,86,5.180358195839934
87,87,5.1539583945439285
88,88,5.098843714545518
89,89,5.043729034547108
90,90,4.988614354548697
91,91,4.933499674550288
92,92,4.878384994551878
93,93,4.823270314553467
94,94,4.768155634555056
95,95,4.713040954556645
96,96,5.134865956675857
97,97,5.561995646867156
98,98,5.989125337058454
99,99,6.416255027249751
100,100,6.843384717441049
101,101,7.270514407632347
102,102,7.697644097823645
103,103,8.164180093545639
104,104,8.631531954320348
105,105,9.23773984770141
106,106,9.843947741082474
107,107,10.450155634463536
108,108,10.235063164996431
109,109,10.002353425233295
110,110,9.769643685470161
111,111,9.536933945707025
112,112,9.30422420594389
113,113,9.071514466180755
114,114,8.83880472641762
115,115,8.589875095415426
116,116,7.816502314350332
117,117,7.043129533285239
118,118,6.269756752220148
119,119,5.496383971155053
120,120,4.723011190089958
121,121,3.949638409024865
122,122,3.176265627959773
123,123,2.4028928468946775
124,124,1.5849640726442924
125,125,0.7653245714186778
126,126,-0.23868154129261634
127,127,-1.2426607913679186
128,128,-2.245387730936733
129,129,-3.401337965429249
130,130,-4.559779635611581
131,131,-5.718221305793906
132,132,-6.876662975976242
133,133,-8.035104646158569
134,134,-9.193546316340907
135,135,-10.351987986523234
136,136,-11.488325396946134
137,137,-12.0152167882874
138,138,-12.542108179628672
139,139,-13.068999570969948
140,140,-13.595890962311213
141,141,-14.122782353652488
142,142,-14.649673744993766
143,143,-15.176565136335034
144,144,-15.703456527676307
145,145,-16.190543569996674
146,146,-16.69682730836909
147,147,-17.203848614502597
148,148,-17.84800422724656
149,149,-18.495531995071094
150,150,-18.26177327563246
151,151,-18.01821258313025
152,152,-17.774651890628018
153,153,-17.5310911981258
154,154,-17.287530505623586
155,155,-17.04773907857709
156,156,-16.80803244073307
157,157,-16.24986951696715
158,158,-15.688489863040399
159,159,-15.127110209113653
160,160,-14.565730555186901
161,161,-14.004350901260146
162,162,-13.442971247333409
163,163,-12.881591593406657
164,164,-12.320211939479904
165,165,-11.75918882687851
166,166,-11.269117438022363
167,167,-11.414444221970708
168,168,-11.58077590419358
169,169,-11.410653545545605
170,170,-11.067292511311958
171,171,-10.723931477078313
172,172,-10.283444411403305
173,173,-9.838593271170296
174,174,-9.417434867371835
175,175,-9.241554378253989
176,176,-9.297042408100177
177,177,-9.356771408762434
178,178,-10.328053043076332
179,179,-11.303915343891013
180,180,-12.279777644705678
181,181,-13.521355640788101
182,182,-14.770869533021672
183,183,-16.01988516184976
184,184,-17.254744248039692
185,185,-18.55236404496868
186,186,-19.7313201109953
187,187,-20.205475327201356
188,188,-20.7915866746617
189,189,-21.31291374228952
190,190,-22.20384885793207
191,191,-23.10003195802919
192,192,-23.851294600911608
193,193,-24.618309907636178
194,194,-25.40239803641199
195,195,-26.650771966360942
196,196,-27.53301930286077
197,197,-27.025174234059097
198,198,-26.52551118388973
199,199,-26.48371872455843
200,200,-26.43036688932315
201,201,-25.499391668147762
202,202,-24.613760071193457
203,203,-23.52300386338126
204,204,-22.462499240202096
205,205,-22.16826439341665
206,206,-22.087116807526993
207,207,-22.2209459767352
208,208,-22.713691286150226
209,209,-23.1234336691994
210,210,-23.7484747935082
211,211,-23.884459264224958
212,212,-24.01667751139403
213,213,-24.53896956598521
214,214,-25.2458478746244
215,215,-25.85229510137893
216,216,-25.923680098825454
217,217,-24.008716276430086
218,218,-23.375692521858635
219,219,-21.770797181328376
220,220,-20.16590184079811
221,221,-18.564481246649272
222,222,-17.152627371753436
223,223,-15.767039082661666
224,224,-14.133481278180994
225,225,-12.257252894402209
226,226,-11.132215180243003
227,227,-9.95411664584498
228,228,-8.517051937475957
229,229,-6.298583237375465
230,230,-3.365734884076336
231,231,-0.1662410783721173
232,232,3.1335386573813913
233,233,6.33410497388412
234,234,10.025697065650839
235,235,13.101618464233674
236,236,15.838774865337436
237,237,19.086020080600463
238,238,22.7532439825814
239,239,26.59040304962448
240,240,30.141213053085693
241,241,33.68007053975135
242,242,37.25398137475139
243,243,42.400559628033974
244,244,47.11562822791507
245,245,51.82456991588168
246,246,57.7904825131779
247,247,64.97539347699524
248,248,72.1283924493976
249,249,79.00874135804587
250,250,85.99503848016711
251,251,92.01974519716431
252,252,99.60677786054617
253,253,108.93353526322714
254,254,118.95837684653897
255,255,130.03720980766604
256,256,143.614378475209
257,257,157.44764762576418
258,258,166.66649238939206
259,259,175.44874236315042
260,260,184.5756005584829
261,261,193.69715529328445
262,262,202.81851767459526
263,263,211.69650342953662
264,264,219.239962162307
265,265,227.01473441492743
266,266,234.93272258397187
267,267,243.20356882037814
268,268,251.07188120897658
269,269,261.3084726077545
270,270,271.1903682720581
271,271,280.73264623988234
272,272,288.7919131822866
273,273,298.48584126976897
274,274,306.14048054317385
275,275,314.5587646336783
276,276,322.43141589109445
277,277,332.2725948782834
278,278,342.40450135108796
279,279,352.30142112856606
280,280,362.342105429669
281,281,371.87893474769805
282,282,381.1588077908974
283,283,390.4307337328135
284,284,399.04767687900613
285,285,407.4976060977984
286,286,415.45975217931067
287,287,422.69696605744247
288,288,435.39657801516137
289,289,445.7247354657412
290,290,457.84428553147796
291,291,470.30415177234875
292,292,483.68301574182846
293,293,498.2742016360091
294,294,512.1847192601056
295,295,526.1579881745072
296,296,537.9993418622068
297,297,548.4494685731266
298,298,558.2485094986641
299,299,570.1127583700498
300,300,582.8581599388368
301,301,595.5731789070175
302,302,608.1896478473845
303,303,621.3487432542369
304,304,635.9080976542357
305,305,652.4083247242188
306,306,669.3266253385627
307,307,685.6596476537999
308,308,703.2749912998742
309,309,718.2776307693621
310,310,733.7289929458311
311,311,747.6660339677283
312,312,761.1674683259688
313,313,774.1217751939171
314,314,783.0522063539248
315,315,793.4106950247406
316,316,805.399862760173
317,317,820.3913499615345
318,318,836.6717978846108
319,319,851.895366681081
320,320,867.2841107049547
321,321,881.6644480058301
322,322,896.1704495568504
323,323,909.4696080729282
324,324,920.7896013461175
325,325,933.0206674405644
326,326,945.7114579756246
327,327,959.2953942414204
328,328,973.1223865442898
329,329,986.5220261202311
330,330,997.6862134052319
331,331,1008.1734765098635
332,332,1018.7045815723881
333,333,1029.1035300450358
334,334,1040.899376780204
335,335,1052.4910062395663
336,336,1064.2409155192167
337,337,1075.8767605676032
338,338,1084.5103708940685
339,339,1094.145559547601
340,340,1102.1677185376789
341,341,1113.2811260687681
342,342,1124.5628380293667
343,343,1135.8889820716572
344,344,1149.2865074461408
345,345,1161.816509361719
346,346,1173.2321351069816
347,347,1184.5746503024102
348,348,1194.9326773479622
349,349,1205.3275879892572
350,350,1216.0021658900669
351,351,1226.340258745761
352,352,1238.6168416609544
353,353,1250.9804347384293
354,354,1264.7048583902447
355,355,1278.6553691370693
356,356,1293.338601303856
357,357,1307.7394272151187
358,358,1321.388585471373
359,359,1334.8975342406552
360,360,1346.6910565286478
361,361,1357.7757940954987
362,362,1369.696090961606
363,363,1381.4786138194345
364,364,1393.9200899340176
365,365,1408.0413564798678
366,366,1421.2109298979858
367,367,1435.3182926656348
368,368,1449.5912756721716
369,369,1465.227645540334
370,370,1483.625111581803
371,371,1503.974349021381
372,372,1525.1836411776808
373,373,1546.1150472203913
374,374,1565.6211426464463
375,375,1583.4248826167752
376,376,1601.1027079910625
377,377,1618.6107471572068
378,378,1637.4606568133793
379,379,1656.4868667092335
380,380,1673.296424315222
381,381,1689.3406261521625
382,382,1704.33265948164
383,383,1720.5408403310064
384,384,1737.1164600201625
385,385,1751.6695374849455
386,386,1766.0494663080538
387,387,1781.516784951536
388,388,1796.100885617002
389,389,1808.2803889977506
390,390,1821.3872747181995
391,391,1834.913773711212
392,392,1847.8742553708853
393,393,1860.2194986360696
394,394,1873.0738193729462
395,395,1887.1561840684205
396,396,1903.2418852085318
397,397,1919.0351047733932
398,398,1934.2607294873462
399,399,1949.8470556073758
400,400,1964.2934264332325
401,401,1978.605783566424
402,402,1992.978606967476
403,403,2003.5240779811336
404,404,2014.5444411242036
405,405,2025.2950184064987
406,406,2036.7889172076136
407,407,2048.759820110675
408,408,2061.387600409655
409,409,2074.799069876854
410,410,2088.6782687040686
411,411,2098.8485490545168
412,412,2105.3726948399203
413,413,2113.3270931192956
414,414,2121.943861190403
415,415,2129.6203296036806
416,416,2137.687585476862
417,417,2145.7466207772745
418,418,2153.852974355614
419,419,2163.7319434224664
420,420,2172.8126640955593
421,421,2182.8153589777353
422,422,2195.4527591025694
423,423,2207.317886072629
424,424,2219.639969373206
425,425,2232.264945828549
426,426,2244.1162419987777
427,427,2255.9746119047677
428,428,2269.7785924556365
429,429,2287.8903161169223
430,430,2306.678680606777
431,431,2325.9213568292857
432,432,2347.623925191925
433,433,2369.7813166391643
434,434,2390.232728604589
435,435,2412.3054810003073
436,436,2434.5272430832506
437,437,2455.5762789147298
438,438,2476.4446688662406
439,439,2497.8037021500754
440,440,2513.4648408443927
441,441,2527.0260003166745
442,442,2541.50503742274
443,443,2553.244070349946
444,444,2562.1629625922433
445,445,2573.133455648688
446,446,2583.709369166968
447,447,2594.2398386889504
448,448,2604.7703082109324
449,449,2615.7481387720145
450,450,2622.4896283388944
451,451,2631.20234591061
452,452,2640.9794415600045
453,453,2652.368447891702
454,454,2662.0370383059303
455,455,2673.921887835867
456,456,2685.2716523993636
457,457,2694.2076722868924
458,458,2701.8423994715195
459,459,2711.0029007226835
