,datetime,instrument,id,direction,price,volume,isover,status,cash_flow,,,,cum_profit,,,
0,2018/2/1 9:30,ETF,510050,1,3115,1000,TRUE,Deal,-3115000,0,0,0,0,,,
1,2018/2/1 9:30,Future,IH1803,-1,3138000,1,TRUE,Deal,3138000,23000,1,23000,23000,,交易次数,44
2,2018/2/6 14:54,ETF,510050,-1,3108,1000,TRUE,Deal,3108000,6246000,0,0,23000,,profit,182600
3,2018/2/6 14:54,Future,IH1803,1,3111400,1,TRUE,Deal,-3111400,-3400,1,-3400,19600,,,
4,2018/2/6 14:54,ETF,510050,-1,3108,1000,TRUE,Deal,3108000,-3400,0,0,19600,,,
5,2018/2/6 14:54,Future,IH1803,1,3111400,1,TRUE,Deal,-3111400,-3400,1,-3400,16200,,,
6,2018/2/7 9:30,ETF,510050,1,3144,1000,TRUE,Deal,-3144000,-6255400,0,0,16200,,,
7,2018/2/7 9:30,Future,IH1803,-1,3158800,1,TRUE,Deal,3158800,14800,1,14800,31000,,,
8,2018/2/7 9:30,ETF,510050,1,3144,1000,TRUE,Deal,-3144000,14800,0,0,31000,,,
9,2018/2/7 9:30,Future,IH1803,-1,3159800,1,TRUE,Deal,3159800,15800,1,15800,46800,,,
10,2018/2/7 11:20,ETF,510050,-1,3043,1000,TRUE,Deal,3043000,6202800,0,0,46800,,,
11,2018/2/7 11:20,Future,IH1803,1,3052600,1,TRUE,Deal,-3052600,-9600,1,-9600,37200,,,
12,2018/2/7 11:20,ETF,510050,-1,3043,1000,TRUE,Deal,3043000,-9600,0,0,37200,,,
13,2018/2/7 11:20,Future,IH1803,1,3049000,1,TRUE,Deal,-3049000,-6000,1,-6000,31200,,,
14,2018/2/7 11:23,ETF,510050,1,3045,1000,TRUE,Deal,-3045000,-6094000,0,0,31200,,,
15,2018/2/7 11:23,Future,IH1803,-1,3058800,1,TRUE,Deal,3058800,13800,1,13800,45000,,,
16,2018/2/7 11:23,ETF,510050,1,3045,1000,TRUE,Deal,-3045000,13800,0,0,45000,,,
17,2018/2/7 11:23,Future,IH1803,-1,3057400,1,TRUE,Deal,3057400,12400,1,12400,57400,,,
18,2018/2/7 14:52,ETF,510050,-1,3026,1000,TRUE,Deal,3026000,6083400,0,0,57400,,,
19,2018/2/7 14:52,Future,IH1803,1,3032200,1,TRUE,Deal,-3032200,-6200,1,-6200,51200,,,
20,2018/2/7 14:53,ETF,510050,-1,3029,1000,TRUE,Deal,3029000,-3200,0,0,51200,,,
