,datetime,instrument,id,direction,price,volume,isover,status,cash_flow,,
0,2018/2/1 9:30,ETF,510050,1,3115,1000,TRUE,Deal,-3115000,,
1,2018/2/1 9:30,Future,IH1803,-1,3131400,1,TRUE,Deal,3131400,,profit
2,2018/2/6 14:56,ETF,510050,-1,3105,1000,TRUE,Deal,3105000,,129200
3,2018/2/6 14:56,Future,IH1803,1,3112200,1,TRUE,Deal,-3112200,,
4,2018/2/6 14:56,ETF,510050,-1,3105,1000,TRUE,Deal,3105000,,
5,2018/2/6 14:56,Future,IH1803,1,3112200,1,TRUE,Deal,-3112200,,
6,2018/2/7 9:30,ETF,510050,1,3144,1000,TRUE,Deal,-3144000,,
7,2018/2/7 9:30,Future,IH1803,-1,3159800,1,TRUE,Deal,3159800,,
8,2018/2/7 9:30,ETF,510050,1,3144,1000,TRUE,Deal,-3144000,,
9,2018/2/7 9:30,Future,IH1803,-1,3161400,1,TRUE,Deal,3161400,,
10,2018/2/7 11:20,ETF,510050,-1,3043,1000,TRUE,Deal,3043000,,
11,2018/2/7 11:20,Future,IH1803,1,3051800,1,TRUE,Deal,-3051800,,
12,2018/2/7 11:20,ETF,510050,-1,3045,1000,TRUE,Deal,3045000,,
13,2018/2/7 11:20,Future,IH1803,1,3049800,1,TRUE,Deal,-3049800,,
14,2018/2/7 11:23,ETF,510050,1,3042,1000,TRUE,Deal,-3042000,,
15,2018/2/7 11:23,Future,IH1803,-1,3057400,1,TRUE,Deal,3057400,,
16,2018/2/7 11:24,ETF,510050,1,3048,1000,TRUE,Deal,-3048000,,
17,2018/2/7 11:24,Future,IH1803,-1,3061200,1,TRUE,Deal,3061200,,
18,2018/2/7 14:56,ETF,510050,-1,3024,1000,TRUE,Deal,3024000,,
19,2018/2/7 14:56,Future,IH1803,1,3027200,1,TRUE,Deal,-3027200,,
20,2018/2/7 14:56,ETF,510050,-1,3024,1000,TRUE,Deal,3024000,,
21,2018/2/7 14:56,Future,IH1803,1,3027000,1,TRUE,Deal,-3027000,,
22,2018/2/8 9:30,ETF,510050,1,2998,1000,TRUE,Deal,-2998000,,
23,2018/2/8 9:30,Future,IH1803,-1,3013200,1,TRUE,Deal,3013200,,
24,2018/2/8 9:30,ETF,510050,1,2998,1000,TRUE,Deal,-2998000,,
25,2018/2/8 9:30,Future,IH1803,-1,3013200,1,TRUE,Deal,3013200,,
26,2018/2/9 10:04,ETF,510050,-1,2795,1000,TRUE,Deal,2795000,,
27,2018/2/9 10:04,Future,IH1803,1,2785200,1,TRUE,Deal,-2785200,,
28,2018/2/9 10:04,ETF,510050,-1,2791,1000,TRUE,Deal,2791000,,
29,2018/2/9 10:04,Future,IH1803,1,2782000,1,TRUE,Deal,-2782000,,
30,2018/2/26 14:10,ETF,510050,1,2973,1000,TRUE,Deal,-2973000,,
31,2018/2/26 14:10,Future,IH1804,-1,2981800,1,TRUE,Deal,2981800,,
32,2018/2/26 14:10,ETF,510050,1,2969,1000,TRUE,Deal,-2969000,,
33,2018/2/26 14:10,Future,IH1804,-1,2981600,1,TRUE,Deal,2981600,,
34,2018/3/21 14:54,ETF,510050,-1,2886,1000,TRUE,Deal,2886000,,
35,2018/3/21 14:54,Future,IH1805,1,2886000,1,TRUE,Deal,-2886000,,
36,2018/3/23 9:30,ETF,510050,-1,2790,1000,TRUE,Deal,2790000,,
37,2018/3/23 9:30,Future,IH1805,1,2782800,1,TRUE,Deal,-2782800,,
38,2018/4/10 14:28,ETF,510050,1,2756,1000,TRUE,Deal,-2756000,,
39,2018/4/10 14:28,Future,IH1805,-1,2764000,1,TRUE,Deal,2764000,,
40,2018/4/11 9:30,ETF,510050,1,2774,1000,TRUE,Deal,-2774000,,
41,2018/4/11 9:30,Future,IH1805,-1,2773400,1,TRUE,Deal,2773400,,
,,,,,,,,,129200,,
