,expiry,date,strike,id,type,path,is_atm,atm_type
0,20170125,20170103,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170103\2300\10000777C\10000777vols_data.csv,1,1
1,20170125,20170103,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170103\2300\10000782P\10000782vols_data.csv,1,1
2,20170222,20170103,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170103\2300\10000833C\10000833vols_data.csv,1,2
3,20170222,20170103,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170103\2300\10000838P\10000838vols_data.csv,1,2
4,20170322,20170103,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170103\2300\10000787C\10000787vols_data.csv,1,3
5,20170322,20170103,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170103\2300\10000792P\10000792vols_data.csv,1,3
6,20170628,20170103,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170103\2300\10000797C\10000797vols_data.csv,1,4
7,20170628,20170103,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170103\2300\10000802P\10000802vols_data.csv,1,4
8,20170125,20170104,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170104\2300\10000777C\10000777vols_data.csv,1,1
9,20170125,20170104,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170104\2300\10000782P\10000782vols_data.csv,1,1
10,20170222,20170104,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170104\2300\10000833C\10000833vols_data.csv,1,2
11,20170222,20170104,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170104\2300\10000838P\10000838vols_data.csv,1,2
12,20170322,20170104,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170104\2300\10000787C\10000787vols_data.csv,1,3
13,20170322,20170104,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170104\2300\10000792P\10000792vols_data.csv,1,3
14,20170628,20170104,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170104\2300\10000797C\10000797vols_data.csv,1,4
15,20170628,20170104,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170104\2300\10000802P\10000802vols_data.csv,1,4
16,20170125,20170105,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170105\2300\10000777C\10000777vols_data.csv,1,1
17,20170125,20170105,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170105\2300\10000782P\10000782vols_data.csv,1,1
18,20170222,20170105,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170105\2300\10000833C\10000833vols_data.csv,1,2
19,20170222,20170105,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170105\2300\10000838P\10000838vols_data.csv,1,2
20,20170322,20170105,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170105\2300\10000787C\10000787vols_data.csv,1,3
21,20170322,20170105,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170105\2300\10000792P\10000792vols_data.csv,1,3
22,20170628,20170105,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170105\2300\10000797C\10000797vols_data.csv,1,4
23,20170628,20170105,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170105\2300\10000802P\10000802vols_data.csv,1,4
