,date,close_price,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,,cm,nm,cq,nq
0,2017/1/3,2.3065,0.162428,0.162428,0.165379,0.165379,0.173195,0.173195,0.178055,0.178055,,0.162428,0.165379,0.173195,0.178055
1,2017/1/4,2.3245,0.15173,0.15173,0.154955,0.154955,0.164443,0.164443,0.173767,0.173767,,0.15173,0.154955,0.164443,0.173767
2,2017/1/5,2.3215,0.14682,0.14682,0.152327,0.152327,0.163909,0.163909,0.174529,0.174529,,0.14682,0.152327,0.163909,0.174529
3,2017/1/6,2.3135,0.144083,0.144083,0.149555,0.149555,0.164911,0.164911,0.177799,0.177799,,0.144083,0.149555,0.164911,0.177799
4,2017/1/9,2.3195,0.138288,0.138288,0.146575,0.146575,0.157315,0.157315,0.172553,0.172553,,0.138288,0.146575,0.157315,0.172553
5,2017/1/10,2.3125,0.132996,0.132996,0.142302,0.142302,0.154654,0.154654,0.168877,0.168877,,0.132996,0.142302,0.154654,0.168877
6,2017/1/11,2.3035,0.132479,0.132479,0.140259,0.140259,0.152812,0.152812,0.16652,0.16652,,0.132479,0.140259,0.152812,0.16652
7,2017/1/12,2.2955,0.129687,0.129687,0.13796,0.13796,0.150153,0.150153,0.164017,0.164017,,0.129687,0.13796,0.150153,0.164017
8,2017/1/13,2.3105,0.124656,0.124656,0.135983,0.135983,0.150284,0.150284,0.159651,0.159651,,0.124656,0.135983,0.150284,0.159651
9,2017/1/16,2.3385,0.138211,0.138211,0.135956,0.135956,0.156443,0.156443,0.163888,0.163888,,0.138211,0.135956,0.156443,0.163888
10,2017/1/17,2.3285,0.119031,0.119031,0.123118,0.123118,0.149122,0.149122,0.160844,0.160844,,0.119031,0.123118,0.149122,0.160844
11,2017/1/18,2.3445,0.115834,0.115834,0.119866,0.119866,0.144703,0.144703,0.158819,0.158819,,0.115834,0.119866,0.144703,0.158819
12,2017/1/19,2.3345,0.108392,0.108392,0.118332,0.118332,0.140858,0.140858,0.156139,0.156139,,0.108392,0.118332,0.140858,0.156139
13,2017/1/20,2.3495,0.103377,0.103377,0.117176,0.117176,0.14166,0.14166,0.160423,0.160423,,0.103377,0.117176,0.14166,0.160423
14,2017/1/23,2.3485,0.105984,0.105984,0.111781,0.111781,0.137471,0.137471,0.152544,0.152544,,0.105984,0.111781,0.137471,0.152544
15,2017/1/24,2.3535,0.10016,0.10016,0.109305,0.109305,0.133271,0.133271,0.145761,0.145761,,0.10016,0.109305,0.133271,0.145761
16,2017/1/25,2.3684,0.123918,0.123918,0.10821,0.10821,0.132847,0.132847,0.144006,0.144006,,0.123918,0.10821,0.132847,0.144006
17,2017/1/26,2.3665,0.104774,0.104774,0.12049,0.12049,0.135592,0.135592,0.139856,0.139856,,0.104774,0.12049,0.135592,0.139856
18,2017/2/3,2.3415,0.106467,0.106467,0.118826,0.118826,0.1353,0.1353,0.139996,0.139996,,0.106467,0.118826,0.1353,0.139996
19,2017/2/6,2.3425,0.106769,0.106769,0.116319,0.116319,0.131648,0.131648,0.136372,0.136372,,0.106769,0.116319,0.131648,0.136372
20,2017/2/7,2.3355,0.105101,0.105101,0.114856,0.114856,0.126339,0.126339,0.134246,0.134246,,0.105101,0.114856,0.126339,0.134246
21,2017/2/8,2.3485,0.106758,0.106758,0.111005,0.111005,0.124389,0.124389,0.133088,0.133088,,0.106758,0.111005,0.124389,0.133088
