,expiry,date,strike,id,type,path,is_atm,sigma,delta
0,20170125,20170103,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170103\2250\10000749C\10000749vols_data.csv,0,0.162831,0.742163
1,20170125,20170103,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170103\2300\10000777C\10000777vols_data.csv,1,0.161485,0.542195
2,20170125,20170103,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170103\2350\10000778C\10000778vols_data.csv,0,0.1651555,0.334428
3,20170125,20170103,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170103\2400\10000779C\10000779vols_data.csv,0,0.16762900000000003,0.17763199999999998
4,20170125,20170103,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170103\2450\10000780C\10000780vols_data.csv,0,0.1768875,0.0880841
5,20170125,20170103,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170103\2500\10000781C\10000781vols_data.csv,0,0.18691449999999998,0.0454333
6,20170125,20170103,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170103\2200\10000825C\10000825vols_data.csv,0,0.165043,0.8837020000000001
7,20170125,20170103,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170103\2250\10000754P\10000754vols_data.csv,0,0.162354,-0.255182
8,20170125,20170103,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170103\2300\10000782P\10000782vols_data.csv,1,0.16185549999999999,-0.45515
9,20170125,20170103,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170103\2350\10000783P\10000783vols_data.csv,0,0.16469250000000002,-0.662917
10,20170125,20170103,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170103\2200\10000826P\10000826vols_data.csv,0,0.16453800000000002,-0.11364300000000001
11,20170222,20170103,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170103\2200\10000831C\10000831vols_data.csv,0,0.15898649999999998,0.799543
12,20170222,20170103,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170103\2250\10000832C\10000832vols_data.csv,0,0.161528,0.6730079999999999
13,20170222,20170103,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170103\2300\10000833C\10000833vols_data.csv,1,0.164493,0.529818
14,20170222,20170103,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170103\2350\10000834C\10000834vols_data.csv,0,0.170621,0.391794
15,20170222,20170103,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170103\2400\10000835C\10000835vols_data.csv,0,0.1745695,0.274939
16,20170222,20170103,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170103\2200\10000836P\10000836vols_data.csv,0,0.1593835,-0.196384
17,20170222,20170103,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170103\2250\10000837P\10000837vols_data.csv,0,0.16254100000000002,-0.322919
18,20170222,20170103,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170103\2300\10000838P\10000838vols_data.csv,1,0.1649965,-0.46611
19,20170222,20170103,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170103\2350\10000839P\10000839vols_data.csv,0,0.169153,-0.604133
20,20170322,20170103,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170103\2250\10000675C\10000675vols_data.csv,0,0.170277,0.6363850000000001
