,expiry,date,strike,id,type,path,is_atm
0,20170125,20170103,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170103\2250\10000749C\10000749vols_data.csv,0
1,20170125,20170103,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170103\2300\10000777C\10000777vols_data.csv,1
2,20170125,20170103,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170103\2350\10000778C\10000778vols_data.csv,0
3,20170125,20170103,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170103\2400\10000779C\10000779vols_data.csv,0
4,20170125,20170103,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170103\2450\10000780C\10000780vols_data.csv,0
5,20170125,20170103,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170103\2500\10000781C\10000781vols_data.csv,0
6,20170125,20170103,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170103\2200\10000825C\10000825vols_data.csv,0
7,20170125,20170103,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170103\2250\10000754P\10000754vols_data.csv,0
8,20170125,20170103,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170103\2300\10000782P\10000782vols_data.csv,1
9,20170125,20170103,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170103\2350\10000783P\10000783vols_data.csv,0
10,20170125,20170103,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170103\2200\10000826P\10000826vols_data.csv,0
11,20170222,20170103,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170103\2200\10000831C\10000831vols_data.csv,0
12,20170222,20170103,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170103\2250\10000832C\10000832vols_data.csv,0
13,20170222,20170103,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170103\2300\10000833C\10000833vols_data.csv,1
14,20170222,20170103,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170103\2350\10000834C\10000834vols_data.csv,0
15,20170222,20170103,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170103\2400\10000835C\10000835vols_data.csv,0
16,20170222,20170103,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170103\2200\10000836P\10000836vols_data.csv,0
17,20170222,20170103,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170103\2250\10000837P\10000837vols_data.csv,0
18,20170222,20170103,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170103\2300\10000838P\10000838vols_data.csv,1
19,20170222,20170103,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170103\2350\10000839P\10000839vols_data.csv,0
20,20170322,20170103,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170103\2250\10000675C\10000675vols_data.csv,0
21,20170322,20170103,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170103\2300\10000787C\10000787vols_data.csv,1
22,20170322,20170103,2350,10000788,C,E:/Pycharm/data/option_data\20170322\20170103\2350\10000788C\10000788vols_data.csv,0
23,20170322,20170103,2400,10000789,C,E:/Pycharm/data/option_data\20170322\20170103\2400\10000789C\10000789vols_data.csv,0
24,20170322,20170103,2450,10000790,C,E:/Pycharm/data/option_data\20170322\20170103\2450\10000790C\10000790vols_data.csv,0
25,20170322,20170103,2500,10000791,C,E:/Pycharm/data/option_data\20170322\20170103\2500\10000791C\10000791vols_data.csv,0
26,20170322,20170103,2200,10000827,C,E:/Pycharm/data/option_data\20170322\20170103\2200\10000827C\10000827vols_data.csv,0
27,20170322,20170103,2250,10000680,P,E:/Pycharm/data/option_data\20170322\20170103\2250\10000680P\10000680vols_data.csv,0
28,20170322,20170103,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170103\2300\10000792P\10000792vols_data.csv,1
29,20170322,20170103,2350,10000793,P,E:/Pycharm/data/option_data\20170322\20170103\2350\10000793P\10000793vols_data.csv,0
30,20170322,20170103,2200,10000828,P,E:/Pycharm/data/option_data\20170322\20170103\2200\10000828P\10000828vols_data.csv,0
31,20170628,20170103,2250,10000729,C,E:/Pycharm/data/option_data\20170628\20170103\2250\10000729C\10000729vols_data.csv,0
32,20170628,20170103,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170103\2300\10000797C\10000797vols_data.csv,1
33,20170628,20170103,2350,10000798,C,E:/Pycharm/data/option_data\20170628\20170103\2350\10000798C\10000798vols_data.csv,0
34,20170628,20170103,2400,10000799,C,E:/Pycharm/data/option_data\20170628\20170103\2400\10000799C\10000799vols_data.csv,0
35,20170628,20170103,2450,10000800,C,E:/Pycharm/data/option_data\20170628\20170103\2450\10000800C\10000800vols_data.csv,0
36,20170628,20170103,2500,10000801,C,E:/Pycharm/data/option_data\20170628\20170103\2500\10000801C\10000801vols_data.csv,0
37,20170628,20170103,2200,10000829,C,E:/Pycharm/data/option_data\20170628\20170103\2200\10000829C\10000829vols_data.csv,0
38,20170628,20170103,2250,10000734,P,E:/Pycharm/data/option_data\20170628\20170103\2250\10000734P\10000734vols_data.csv,0
39,20170628,20170103,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170103\2300\10000802P\10000802vols_data.csv,1
40,20170628,20170103,2350,10000803,P,E:/Pycharm/data/option_data\20170628\20170103\2350\10000803P\10000803vols_data.csv,0
41,20170628,20170103,2200,10000830,P,E:/Pycharm/data/option_data\20170628\20170103\2200\10000830P\10000830vols_data.csv,0
42,20170125,20170104,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170104\2250\10000749C\10000749vols_data.csv,0
43,20170125,20170104,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170104\2300\10000777C\10000777vols_data.csv,1
44,20170125,20170104,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170104\2350\10000778C\10000778vols_data.csv,0
45,20170125,20170104,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170104\2400\10000779C\10000779vols_data.csv,0
46,20170125,20170104,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170104\2450\10000780C\10000780vols_data.csv,0
47,20170125,20170104,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170104\2500\10000781C\10000781vols_data.csv,0
48,20170125,20170104,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170104\2200\10000825C\10000825vols_data.csv,0
49,20170125,20170104,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170104\2250\10000754P\10000754vols_data.csv,0
50,20170125,20170104,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170104\2300\10000782P\10000782vols_data.csv,1
51,20170125,20170104,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170104\2350\10000783P\10000783vols_data.csv,0
52,20170125,20170104,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170104\2200\10000826P\10000826vols_data.csv,0
53,20170222,20170104,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170104\2200\10000831C\10000831vols_data.csv,0
54,20170222,20170104,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170104\2250\10000832C\10000832vols_data.csv,0
55,20170222,20170104,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170104\2300\10000833C\10000833vols_data.csv,1
56,20170222,20170104,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170104\2350\10000834C\10000834vols_data.csv,0
57,20170222,20170104,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170104\2400\10000835C\10000835vols_data.csv,0
58,20170222,20170104,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170104\2200\10000836P\10000836vols_data.csv,0
59,20170222,20170104,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170104\2250\10000837P\10000837vols_data.csv,0
60,20170222,20170104,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170104\2300\10000838P\10000838vols_data.csv,1
61,20170222,20170104,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170104\2350\10000839P\10000839vols_data.csv,0
62,20170322,20170104,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170104\2250\10000675C\10000675vols_data.csv,0
