,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,etf变动,etf绝对值
0,1/3/2017,-0.686198925,-0.690565308,-0.685148122,-0.65814745,-0.120230288,-0.596362413,-0.578194355,-0.061859348,0,0
1,1/4/2017,-0.877668758,-0.829601478,-0.451700089,-0.489896027,-0.410758546,-0.429041794,-0.425036274,-0.403261797,0.007804032,0.007804032
2,1/5/2017,-0.362182592,-0.249238719,0.118519328,0.140946445,0.073287206,0.089414077,-0.063867522,-0.073448966,-0.0012906,0.0012906
3,1/6/2017,0.483608136,0.427957669,0.708292271,0.697018919,0.094015796,0.273253123,-0.583647872,-0.626368054,-0.003446048,0.003446048
4,1/9/2017,-0.708072393,-0.701749439,-0.184334558,-0.377477421,-0.531615042,-0.50410841,-0.664053004,-0.67806168,0.002593473,0.002593473
5,1/10/2017,0.071453198,-0.050853202,0.002452465,0.004111525,0.026180843,-0.059772694,0.035386021,-0.031649073,-0.003017892,0.003017892
6,1/11/2017,0.208481791,0.245654438,0.453782664,0.557248542,0.626447042,0.675491123,0.721916027,0.698765736,-0.003891892,0.003891892
7,1/12/2017,0.611971972,0.547619059,0.692459994,0.831192764,0.751095062,0.693050553,0.694874371,0.598309041,-0.003472976,0.003472976
8,1/13/2017,-0.643288299,-0.715138059,-0.520856042,-0.54524541,-0.341008306,-0.175831678,-0.793485147,-0.766585062,0.006534524,0.006534524
9,1/16/2017,-0.422384054,-0.080232764,-0.25361467,-0.254975828,0.167494157,0.044934695,0.337663057,0.292087991,0.012118589,0.012118589
10,1/17/2017,-0.502105227,-0.460331263,-0.46769146,-0.472174453,-0.495203956,-0.493979289,-0.322035421,-0.39237661,-0.004276245,0.004276245
11,1/18/2017,0.022990311,-0.112992904,-0.444593301,-0.287422062,-0.740096358,-0.697461446,-0.599298914,-0.648964513,0.006871376,0.006871376
12,1/19/2017,0.79291927,0.749264448,0.423557819,0.456920854,0.794059113,0.743572825,0.52255511,0.365637312,-0.004265302,0.004265302
13,1/20/2017,-0.783199696,-0.768303555,-0.742169011,-0.767906322,-0.429629207,-0.549446487,0.525006032,0.514753921,0.006425359,0.006425359
14,1/23/2017,0.452231164,0.59393217,0.874487302,0.767303035,0.629384277,0.459960901,0.789683218,0.754703538,-0.000425622,0.000425622
15,1/24/2017,-0.785020353,-0.784304026,-0.589788483,-0.701438247,-0.798680773,-0.797780098,-0.721369691,-0.777272482,0.002129019,0.002129019
16,1/25/2017,-0.009618003,0.033202082,-0.840011421,-0.788945894,-0.613367207,-0.714263742,-0.851106477,-0.820448676,0.006330996,0.006330996
17,1/26/2017,-0.501699252,-0.260766762,-0.196974543,-0.185319481,-0.429882559,-0.466217761,-0.2366748,-0.169869444,-0.000802229,0.000802229
18,2/3/2017,0.640621171,0.657453894,0.722441537,0.717602444,0.688063636,0.742531823,0.012897871,-0.085736278,-0.010564124,0.010564124
19,2/6/2017,0.20236956,0.191007054,0.566769884,0.587966167,0.595070713,0.635914346,0.651509029,0.686989764,0.000427077,0.000427077
20,2/7/2017,0.235954487,0.142856106,0.065134388,-0.319967284,0.783493307,0.785704367,0.808418337,0.77148735,-0.00298826,0.00298826
21,2/8/2017,-0.521266512,-0.511663443,0.572518668,0.538487842,0.250241522,0.195781619,0.096178294,0.049317413,0.00556626,0.00556626
22,2/9/2017,-0.473230884,-0.345783959,-0.304878119,-0.248805411,0.491353581,0.576383084,0.751695569,0.829178196,0.002554822,0.002554822
23,2/10/2017,0.329394709,0.325246601,0.610679856,0.771145788,0.056712691,-0.201056239,0.441653736,0.691405798,0.005096623,0.005096623
24,2/13/2017,-0.325531339,-0.16166838,-0.474644153,-0.573601504,-0.336348376,-0.2960674,-0.253261225,-0.256689566,0.004648215,0.004648215
25,2/14/2017,0.805880679,0.679554724,0.790682771,0.813604244,0.743723534,0.631030071,0.480821056,0.631395588,-0.003364879,0.003364879
26,2/15/2017,-0.116949226,-0.139986095,0.389024502,0.135190541,-0.304676806,-0.390348756,-0.064560214,-0.065319857,0,0
27,2/16/2017,0.320166175,0.078523609,0.203518114,0.259796779,-0.293495127,-0.341309189,0.010128198,-0.102625109,0.00126609,0.00126609
28,2/17/2017,0.782168548,0.875707995,-0.187276119,-0.495059631,-0.828319698,-0.794142054,-0.655690406,-0.652127078,-0.004636459,0.004636459
29,2/20/2017,-0.448334823,0.698544085,0.869596982,0.884914604,0.580182412,0.485739548,0.788096494,0.801491325,0.014397629,0.014397629
30,2/21/2017,0.596707061,0.620634404,0.87359022,0.86406253,-0.07951102,-0.379130552,-0.583665306,-0.532221461,-0.001252348,0.001252348
