,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
0,2017-12-01,-0.1307,-0.1283,-0.1258,-0.1234,-0.1209,-0.1335,-0.1311,-0.1286,-0.1262,-0.1238,-0.1363,-0.1339,-0.1315,-0.129,-0.1266,-0.1392,-0.1367,-0.1343,-0.1318,-0.1294,-0.142,-0.1395,-0.1371,-0.1346,-0.1322
1,2017-12-04,-0.1307,-0.1283,-0.1258,-0.1234,-0.1209,-0.1335,-0.1311,-0.1286,-0.1262,-0.1238,-0.1363,-0.1339,-0.1315,-0.129,-0.1266,-0.1392,-0.1367,-0.1343,-0.1318,-0.1294,-0.142,-0.1395,-0.1371,-0.1346,-0.1322
2,2017-12-05,0.8047,0.8444,0.884,0.9237,0.9634,0.7555,0.7952,0.8348,0.8745,0.9142,0.7063,0.746,0.7856,0.8253,0.865,0.6571,0.6968,0.7364,0.7761,0.8158,0.4852,0.52,0.5548,0.5896,0.6244
3,2017-12-06,1.629,1.7237,1.8184,1.9131,2.0079,1.4986,1.5933,1.688,1.7828,1.8775,1.3682,1.463,1.5577,1.6524,1.7471,1.2379,1.3326,1.4273,1.522,1.6168,0.8787,0.9648,1.051,1.1372,1.2234
4,2017-12-07,1.2348,1.3373,1.4399,1.5424,1.645,1.0953,1.1978,1.3004,1.4029,1.5055,0.9558,1.0583,1.1609,1.2635,1.366,0.8163,0.9189,1.0214,1.124,1.2265,0.3371,0.4328,0.5286,0.6243,0.7201
5,2017-12-08,1.1692,1.2734,1.3776,1.4818,1.5861,1.0279,1.1322,1.2364,1.3406,1.4448,0.8867,0.9909,1.0951,1.1994,1.3036,0.7455,0.8497,0.9539,1.0581,1.1623,0.2483,0.3459,0.4436,0.5412,0.6388
6,2017-12-11,1.2213,1.328,1.4347,1.5414,1.6481,1.0766,1.1833,1.29,1.3967,1.5034,0.9319,1.0386,1.1453,1.252,1.3587,0.7872,0.8939,1.0006,1.1073,1.214,0.2661,0.3657,0.4653,0.5649,0.6646
7,2017-12-12,0.8229,0.9452,1.0675,1.1898,1.3122,0.6599,0.7822,0.9045,1.0269,1.1492,0.4969,0.6192,0.7415,0.8639,0.9862,0.3339,0.4562,0.5786,0.7009,0.8232,-0.3119,-0.1942,-0.0764,0.0413,0.159
8,2017-12-13,0.9656,1.1223,1.279,1.4357,1.5924,0.7531,0.9098,1.0665,1.2232,1.3799,0.5406,0.6973,0.854,1.0107,1.1674,0.3281,0.4848,0.6415,0.7982,0.9549,-0.3636,-0.215,-0.0664,0.0822,0.2308
9,2017-12-14,1.1763,1.3585,1.5406,1.7228,1.9049,0.9255,1.1077,1.2898,1.472,1.6541,0.6747,0.8569,1.039,1.2212,1.4033,0.4239,0.606,0.7882,0.9704,1.1525,-0.1796,-0.0013,0.177,0.3553,0.5336
10,2017-12-15,0.827,1.0195,1.212,1.4046,1.5971,0.5602,0.7527,0.9453,1.1378,1.3303,0.2935,0.486,0.6785,0.871,1.0635,0.0267,0.2192,0.4117,0.6042,0.7968,-0.689,-0.4983,-0.3076,-0.1169,0.0738
11,2017-12-18,0.7798,0.9735,1.1671,1.3607,1.5544,0.5116,0.7052,0.8989,1.0925,1.2861,0.2433,0.437,0.6306,0.8242,1.0179,-0.0249,0.1687,0.3623,0.556,0.7496,-0.7421,-0.5503,-0.3585,-0.1667,0.0251
12,2017-12-19,0.7798,0.9735,1.1671,1.3607,1.5544,0.5116,0.7052,0.8989,1.0925,1.2861,0.2433,0.437,0.6306,0.8242,1.0179,-0.0249,0.1687,0.3623,0.556,0.7496,-0.7421,-0.5503,-0.3585,-0.1667,0.0251
13,2017-12-20,0.7432,0.939,1.1347,1.3305,1.5262,0.4716,0.6674,0.8631,1.0589,1.2546,0.2,0.3958,0.5915,0.7873,0.983,-0.0716,0.1242,0.3199,0.5157,0.7114,-0.7837,-0.5899,-0.3962,-0.2024,-0.0086
14,2017-12-21,0.6552,0.8566,1.058,1.2595,1.4609,0.3738,0.5752,0.7766,0.978,1.1794,0.0924,0.2938,0.4952,0.6966,0.898,-0.189,0.0124,0.2138,0.4152,0.6166,-0.911,-0.7116,-0.5121,-0.3127,-0.1133
15,2017-12-22,0.5745,0.7781,0.9818,1.1854,1.3891,0.2879,0.4915,0.6952,0.8988,1.1025,0.0013,0.2049,0.4086,0.6122,0.8159,-0.2853,-0.0816,0.122,0.3257,0.5293,-1.0124,-0.8107,-0.6091,-0.4074,-0.2058
16,2017-12-25,0.5215,0.7257,0.9298,1.1339,1.338,0.2334,0.4376,0.6417,0.8458,1.0499,-0.0547,0.1494,0.3536,0.5577,0.7618,-0.3428,-0.1387,0.0655,0.2696,0.4737,-1.047,-0.8451,-0.6431,-0.4411,-0.2392
17,2017-12-26,3.9284,4.1325,4.3367,4.5409,4.7451,3.4431,3.6473,3.8515,4.0556,4.2598,2.9578,3.162,3.3662,3.5704,3.7745,2.4725,2.6767,2.8809,3.0851,3.2893,0.1907,0.3928,0.5948,0.7968,0.9989
18,2017-12-27,3.9284,4.1325,4.3367,4.5409,4.7451,3.4431,3.6473,3.8515,4.0556,4.2598,2.9578,3.162,3.3662,3.5704,3.7745,2.4725,2.6767,2.8809,3.0851,3.2893,0.1907,0.3928,0.5948,0.7968,0.9989
19,2017-12-28,3.2463,3.4797,3.7131,3.9465,4.1799,2.735,2.9684,3.2018,3.4352,3.6686,2.2237,2.4571,2.6905,2.9239,3.1573,1.7124,1.9458,2.1792,2.4126,2.646,-0.5954,-0.3642,-0.1329,0.0983,0.3296
20,2017-12-29,2.7289,2.9799,3.2308,3.4818,3.7327,2.2033,2.4542,2.7052,2.9561,3.2071,1.6776,1.9286,2.1795,2.4305,2.6814,1.152,1.4029,1.6539,1.9048,2.1557,-1.1702,-0.9214,-0.6726,-0.4238,-0.175
21,2018-01-02,2.6683,2.9382,3.208,3.4778,3.7477,2.1247,2.3945,2.6644,2.9342,3.204,1.581,1.8509,2.1207,2.3906,2.6604,1.0374,1.3072,1.5771,1.8469,2.1167,-1.2397,-0.9758,-0.712,-0.4482,-0.1843
22,2018-01-03,2.5027,2.7881,3.0735,3.359,3.6444,1.944,2.2294,2.5148,2.8003,3.0857,1.3853,1.6707,1.9561,2.2416,2.527,0.8266,1.112,1.3974,1.6829,1.9683,-1.4382,-1.1603,-0.8824,-0.6044,-0.3265
23,2018-01-04,2.405,2.6974,2.9898,3.2823,3.5747,1.8398,2.1322,2.4246,2.717,3.0094,1.2746,1.567,1.8594,2.1518,2.4442,0.7094,1.0018,1.2942,1.5866,1.879,-1.562,-1.277,-0.9921,-0.7072,-0.4223
24,2018-01-05,1.9139,2.2392,2.5645,2.8898,3.2151,1.3124,1.6377,1.963,2.2883,2.6136,0.7109,1.0362,1.3615,1.6868,2.0121,0.1095,0.4348,0.7601,1.0854,1.4107,-1.9684,-1.6594,-1.3503,-1.0412,-0.7321
25,2018-01-08,1.3492,1.6949,2.0406,2.3863,2.7321,0.7268,1.0725,1.4182,1.7639,2.1097,0.1044,0.4501,0.7958,1.1416,1.4873,-0.518,-0.1723,0.1734,0.5192,0.8649,-2.4927,-2.1656,-1.8385,-1.5114,-1.1842
26,2018-01-09,1.1483,1.5139,1.8794,2.245,2.6105,0.5057,0.8712,1.2368,1.6024,1.9679,-0.137,0.2286,0.5942,0.9597,1.3253,-0.7796,-0.414,-0.0485,0.3171,0.6826,-2.7745,-2.4276,-2.0806,-1.7337,-1.3867
27,2018-01-10,1.087,1.4674,1.8477,2.2281,2.6084,0.4266,0.807,1.1873,1.5677,1.948,-0.2338,0.1465,0.5269,0.9072,1.2876,-0.8942,-0.5139,-0.1335,0.2468,0.6272,-2.8994,-2.5411,-2.1829,-1.8246,-1.4663
28,2018-01-11,0.8641,1.2587,1.6532,2.0478,2.4423,0.1868,0.5813,0.9759,1.3704,1.765,-0.4906,-0.096,0.2985,0.6931,1.0876,-1.1679,-0.7734,-0.3788,0.0157,0.4103,-3.146,-2.7749,-2.4038,-2.0327,-1.6616
29,2018-01-12,0.6601,1.0684,1.4767,1.885,2.2932,-0.0351,0.3732,0.7815,1.1897,1.598,-0.7303,-0.322,0.0863,0.4945,0.9028,-1.4255,-1.0172,-0.6089,-0.2007,0.2076,-3.4214,-3.0366,-2.6518,-2.2669,-1.8821
30,2018-01-15,-0.2113,0.2142,0.6397,1.0652,1.4907,-0.93,-0.5045,-0.079,0.3466,0.7721,-1.6486,-1.2231,-0.7976,-0.3721,0.0534,-2.3672,-1.9417,-1.5162,-1.0907,-0.6652,-4.1435,-3.7446,-3.3457,-2.9469,-2.548
31,2018-01-16,0.0496,0.4964,0.9432,1.39,1.8367,-0.7016,-0.2548,0.192,0.6388,1.0856,-1.4527,-1.006,-0.5592,-0.1124,0.3344,-2.2039,-1.7571,-1.3104,-0.8636,-0.4168,-4.0427,-3.6245,-3.2063,-2.788,-2.3698
32,2018-01-17,-0.5234,-0.0607,0.402,0.8647,1.3273,-1.2988,-0.8361,-0.3734,0.0892,0.5519,-2.0742,-1.6116,-1.1489,-0.6862,-0.2235,-2.8497,-2.387,-1.9243,-1.4616,-0.9989,-4.7127,-4.2786,-3.8445,-3.4103,-2.9762
33,2018-01-18,-0.3631,0.1233,0.6098,1.0962,1.5826,-1.1834,-0.697,-0.2105,0.2759,0.7624,-2.0037,-1.5172,-1.0308,-0.5443,-0.0579,-2.824,-2.3375,-1.8511,-1.3646,-0.8782,-4.8291,-4.3763,-3.9235,-3.4708,-3.018
34,2018-01-19,-1.7434,-1.2521,-0.7608,-0.2694,0.2219,-2.574,-2.0827,-1.5914,-1.1,-0.6087,-3.4046,-2.9133,-2.4219,-1.9306,-1.4393,-4.2352,-3.7439,-3.2525,-2.7612,-2.2699,-6.0784,-5.6211,-5.1638,-4.7065,-4.2492
35,2018-01-22,-1.8567,-1.364,-0.8714,-0.3787,0.114,-2.6911,-2.1984,-1.7057,-1.2131,-0.7204,-3.5255,-3.0328,-2.5401,-2.0474,-1.5548,-4.3598,-3.8672,-3.3745,-2.8818,-2.3891,-6.1509,-5.6925,-5.2342,-4.7758,-4.3175
36,2018-01-23,-1.9757,-1.483,-0.9903,-0.4976,-0.005,-2.8101,-2.3174,-1.8247,-1.332,-0.8393,-3.6444,-3.1518,-2.6591,-2.1664,-1.6737,-4.4788,-3.9861,-3.4935,-3.0008,-2.5081,-6.2098,-5.7515,-5.2931,-4.8347,-4.3764
37,2018-01-24,-1.9757,-1.483,-0.9903,-0.4976,-0.005,-2.8101,-2.3174,-1.8247,-1.332,-0.8393,-3.6444,-3.1518,-2.6591,-2.1664,-1.6737,-4.4788,-3.9861,-3.4935,-3.0008,-2.5081,-6.2098,-5.7515,-5.2931,-4.8347,-4.3764
38,2018-01-25,-4.21,-3.6682,-3.1265,-2.5847,-2.043,-5.0879,-4.5461,-4.0044,-3.4626,-2.9208,-5.9658,-5.424,-4.8823,-4.3405,-3.7987,-6.8437,-6.3019,-5.7602,-5.2184,-4.6766,-8.6182,-8.1108,-7.6033,-7.0959,-6.5884
39,2018-01-26,-1.7253,-1.1122,-0.4992,0.1139,0.7269,-2.684,-2.0709,-1.4579,-0.8449,-0.2318,-3.6427,-3.0297,-2.4166,-1.8036,-1.1905,-4.6014,-3.9884,-3.3753,-2.7623,-2.1493,-6.4568,-5.878,-5.2993,-4.7206,-4.1419
40,2018-01-29,-0.8412,-0.1431,0.5551,1.2532,1.9514,-1.8981,-1.1999,-0.5018,0.1964,0.8945,-2.9549,-2.2567,-1.5586,-0.8604,-0.1623,-4.0117,-3.3136,-2.6154,-1.9173,-1.2191,-5.6425,-4.9668,-4.2912,-3.6155,-2.9399
41,2018-01-30,-1.5954,-0.8619,-0.1284,0.6052,1.3387,-2.6859,-1.9523,-1.2188,-0.4853,0.2483,-3.7763,-3.0428,-2.3093,-1.5757,-0.8422,-4.8668,-4.1332,-3.3997,-2.6662,-1.9326,-6.9558,-6.2346,-5.5134,-4.7921,-4.0709
42,2018-01-31,-2.3172,-1.555,-0.7928,-0.0306,0.7316,-3.4332,-2.671,-1.9088,-1.1466,-0.3844,-4.5492,-3.787,-3.0248,-2.2626,-1.5004,-5.6652,-4.903,-4.1408,-3.3786,-2.6164,-7.7164,-6.969,-6.2216,-5.4743,-4.7269
43,2018-02-01,-2.5713,-1.7833,-0.9953,-0.2073,0.5807,-3.7135,-2.9255,-2.1374,-1.3494,-0.5614,-4.8556,-4.0676,-3.2796,-2.4916,-1.7036,-5.9977,-5.2097,-4.4217,-3.6337,-2.8457,-7.9532,-7.1859,-6.4185,-5.6511,-4.8837
44,2018-02-02,-3.2511,-2.434,-1.6169,-0.7998,0.0172,-4.4217,-3.6046,-2.7875,-1.9704,-1.1533,-5.5922,-4.7751,-3.9581,-3.141,-2.3239,-6.7628,-5.9457,-5.1286,-4.3115,-3.4944,-8.6705,-7.8763,-7.0821,-6.2879,-5.4937
45,2018-02-05,5.7731,6.6971,7.6212,8.5452,9.4692,4.4409,5.3649,6.289,7.213,8.137,3.1087,4.0327,4.9568,5.8808,6.8048,1.7765,2.7005,3.6246,4.5486,5.4726,-0.2929,0.6083,1.5094,2.4105,3.3117
46,2018-02-06,16.6838,17.7228,18.7618,19.8008,20.8398,15.1265,16.1655,17.2045,18.2435,19.2825,13.5692,14.6082,15.6472,16.6862,17.7252,12.0119,13.0509,14.0899,15.1289,16.1679,11.307,12.3278,13.3487,14.3695,15.3903
47,2018-02-07,36.9205,38.1444,39.3683,40.5922,41.8162,34.9533,36.1772,37.4012,38.6251,39.849,32.9862,34.2101,35.434,36.6579,37.8818,31.019,32.2429,33.4668,34.6907,35.9146,36.7123,37.9306,39.1489,40.3672,41.5855
48,2018-02-08,101.7764,103.1609,104.5455,105.93,107.3145,99.2555,100.64,102.0245,103.4091,104.7936,96.7345,98.1191,99.5036,100.8881,102.2727,94.2136,95.5982,96.9827,98.3672,99.7518,108.1624,109.535,110.9076,112.2801,113.6527
