,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price
0,2017-01-03,2017-01-03 14:56:00,2.3088,10000782,0.032678700000000005,0.0325,0.0326,0.162428,0.161633,0.162078,-0.45515,0.00224693,4.28589,-0.304179,-0.293095,-0.228325,0.04,0.0439111,0.0605499,-0.448172,0.295869,2.3,-0.058227,0,20170125,2.3075
1,2017-01-04,2017-01-04 14:56:04,2.3241,10000782,0.0239306,0.0235,0.0236,0.15173,0.14971199999999998,0.15018099999999998,-0.391963,0.00213546,4.53296,-0.300566,-0.277301,-0.220419,0.04,0.0616061,0.0574816,-0.395569,-0.157691,2.3,-0.153187,0,20170125,2.3235
2,2017-01-05,2017-01-05 14:56:06,2.3225,10000782,0.0227547,0.0228,0.0229,0.14682,0.147038,0.147519,-0.395225,0.0020806,4.830019999999998,-0.302613,-0.26884,-0.214549,0.04,0.0647505,0.0543928,-0.399318,-0.184923,2.3,-0.143877,0,20170125,2.3225
3,2017-01-06,2017-01-06 14:56:03,2.3153,10000782,0.023921900000000003,0.0238,0.0239,0.144083,0.143488,0.143977,-0.423696,0.00204883,5.17036,-0.30566,-0.262411,-0.20922800000000005,0.04,0.0592881,0.051304599999999985,-0.424199,-0.0235341,2.3,-0.0996106,0,20170125,2.3135
4,2017-01-09,2017-01-09 14:56:18,2.3234,10000782,0.0181525,0.0178,0.018000000000000002,0.13828800000000002,0.136391,0.137467,-0.378342,0.0018594,5.59671,-0.319902,-0.237067,-0.193221,0.04,0.0761177,0.0445051,-0.386762,-0.49664,2.3,-0.16145199999999998,0,20170125,2.3195
5,2017-01-10,2017-01-10 14:56:01,2.3176,10000782,0.0195873,0.0193,0.0194,0.132975,0.131412,0.131956,-0.420577,0.00183797,6.21293,-0.357618,-0.230795,-0.187662,0.04,0.105002,0.041418300000000005,-0.428266,-0.4739640000000001,2.3,-0.0969123,0,20170125,2.3135
6,2017-01-11,2017-01-11 14:56:03,2.3095,10000782,0.0217423,0.0214,0.0215,0.132479,0.13056800000000002,0.131126,-0.464977,0.0017907,6.61154,-0.372881,-0.222913,-0.180992,0.04,0.0998681,0.0383296,-0.467958,-0.192465,2.3,-0.037331800000000005,0,20170125,2.3035
7,2017-01-12,2017-01-12 14:56:15,2.3008,10000782,0.0247036,0.0245,0.0246,0.129687,0.128498,0.129082,-0.526564,0.00171215,7.077039999999998,-0.396188,-0.214247,-0.173218,0.04,0.107791,0.0352398,-0.524247,0.157067,2.3,0.0434936,0,20170125,2.2965
8,2017-01-13,2017-01-13 14:56:10,2.3147,10000782,0.017181599999999998,0.0172,0.0173,0.124656,0.124769,0.125383,-0.439042,0.00163019,7.591539999999998,-0.419846,-0.199717,-0.165356,0.04,0.142841,0.0321517,-0.450782,-0.8375520000000001,2.3,-0.0683612,0,20170125,2.3095
9,2017-01-16,2017-01-16 14:56:16,2.3323,10000783,0.0323382,0.0319,0.0323,0.131931,0.128667,0.131647,-0.665381,0.00134569,7.395969999999998,-0.455359,-0.180125,-0.145648,0.04,0.108642,0.0253532,-0.6502439999999999,1.58131,2.35,0.233647,0,20170125,2.3365
10,2017-01-17,2017-01-17 14:56:08,2.3368,10000783,0.0279869,0.0281,0.0285,0.119031,0.119936,0.123124,-0.673517,0.00124916,8.63143,-0.51857,-0.166894,-0.136803,0.04,0.158046,0.0222655,-0.663017,1.18796,2.35,0.221456,0,20170125,2.3305
11,2017-01-18,2017-01-18 14:56:05,2.354,10000783,0.0182356,0.018000000000000002,0.0181,0.115834,0.113991,0.114774,-0.55807,0.00127884,10.3891,-0.679199,-0.153348,-0.129863,0.04,0.263575,0.0191773,-0.568181,-1.24757,2.35,0.0747213,0,20170125,2.3445
12,2017-01-19,2017-01-19 14:56:05,2.3422,10000783,0.0197513,0.0191,0.02,0.108392,0.102476,0.110638,-0.6415270000000001,0.0011054,11.5545,-0.540833,-0.138533,-0.117553,0.04,0.152649,0.0160888,-0.633732,1.05777,2.35,0.161999,0,20170125,2.3365
13,2017-01-20,2017-01-20 14:56:02,2.3576,10000783,0.00987408,0.0093,0.0094,0.0950354,0.08966139999999999,0.0905975,-0.487249,0.00106825,15.5554,-0.654044,-0.122178,-0.107182,0.04,0.269809,0.0130005,-0.505754,-2.7890900000000003,2.35,-0.00846017,0,20170125,2.3495
14,2017-01-23,2017-01-23 14:56:01,2.3565,10000783,0.00869139,0.0088,0.0089,0.105984,0.107461,0.108821,-0.53058,0.000735199,20.139,-1.32901,-0.08129489999999999,-0.0738598,0.04,0.600874,0.00620274,-0.551018,-9.32891,2.35,0.0364091,0,20170125,2.3475
15,2017-01-24,2017-01-24 14:56:06,2.3588,10000783,0.00411645,0.0037,0.0038,0.10016,0.0920529,0.094002,-0.424361,0.000514469,29.6491,-1.6967,-0.0556519,-0.0522265,0.04,0.908546,0.00311366,-0.465049,-27.9571,2.35,-0.0740735,0,20170125,2.3535
16,2017-01-25,2017-01-25 14:56:08,2.3681,10000783,3.18189e-05,0.0,0.0001,0.220381,0.0,0.276954,-0.0312636,8.329780000000001e-06,26.9512,-20.3179,-0.00122694,-0.00122397,0.04,224.9,2.49007e-05,-0.261847,-9220.38,2.35,-1.63919,0,20170125,2.3585
17,2017-01-26,2017-01-26 14:56:15,2.3763,10000839,0.0159355,0.0155,0.0156,0.104774,0.102875,0.103311,-0.357325,0.00229611,5.76025,-0.198871,-0.313144,-0.244691,0.03,0.0545143,0.0673745,-0.358986,-0.0472819,2.35,-0.146054,0,20170222,2.3665
18,2017-02-03,2017-02-03 14:56:02,2.3507,10000839,0.0245929,0.0243,0.0245,0.106467,0.105081,0.106027,-0.521324,0.0021131,7.00091,-0.266045,-0.274645,-0.214487,0.03,0.068784,0.0513047,-0.513875,0.348061,2.35,0.0298796,0,20170222,2.3405
19,2017-02-06,2017-02-06 14:56:08,2.3513,10000839,0.022252,0.0224,0.0225,0.106769,0.10752,0.108027,-0.511414,0.00197175,7.505319999999998,-0.277362,-0.251362,-0.199522,0.035,0.06962180000000001,0.0445061,-0.5061399999999999,0.310992,2.35,0.0187301,0,20170222,2.3425
20,2017-02-07,2017-02-07 14:56:11,2.3443,10000839,0.025728,0.0259,0.0261,0.105101,0.106026,0.107101,-0.5776899999999999,0.00185908,7.7711,-0.303709,-0.242346,-0.191511,0.03,0.0806552,0.0414173,-0.569283,0.518251,2.35,0.08896710000000001,0,20170222,2.3355
21,2017-02-08,2017-02-08 14:56:11,2.3538,10000839,0.0190967,0.019,0.0191,0.103158,0.10263,0.103176,-0.4976390000000001,0.00183304,8.36769,-0.300309,-0.22924,-0.185026,0.03,0.07628099999999999,0.0383287,-0.495823,0.117275,2.35,0.00323187,0,20170222,2.3465
