date,volume,AskPrice,tomorrowbid1,profit,cum_profit
2018/1/2,-338,0.0021,0.0019,-0.0676,-0.0676
2018/1/3,-295,0.002,0.0015,-0.1475,-0.2151
2018/1/4,-171,0.0017,0.0012,-0.0855,-0.3006
2018/1/5,-613,0.0032,0.0022,-0.613,-0.9136
2018/1/8,-582,0.0024,0.0011,-0.7566,-1.6702
2018/1/9,-672,0.0011,0.0008,-0.2016,-1.8718
2018/1/10,-315,0.002,0.0018,-0.063,-1.9348
2018/1/11,-368,0.002,0.0013,-0.2576,-2.1924
2018/1/12,-429,0.0014,0.001,-0.1716,-2.364
2018/1/15,-642,0.0031,0.0011,-1.284,-3.648
2018/1/16,-667,0.0012,0.0016,0.2668,-3.3812
2018/1/17,-685,0.0017,0.0009,-0.548,-3.9292
2018/1/18,-418,0.0017,0.002,0.1254,-3.8038
2018/1/19,-509,0.0021,0.0004,-0.8653,-4.6691
2018/1/22,-443,0.001,0.0002,-0.3544,-5.0235
2018/1/23,-101,0.0012,0.0001,-0.1111,-5.1346
2018/1/24,-101,0.0001,,-0.0101,-5.1447
2018/1/25,-68,0.0152,0.0077,-0.51,-5.6547
2018/1/26,-63,0.0078,0.0153,0.4725,-5.1822
2018/1/29,-433,0.0074,0.009,0.6928,-4.4894
2018/1/30,-326,0.0042,0.003,-0.3912,-4.8806
2018/1/31,-304,0.0062,0.0039,-0.6992,-5.5798
2018/2/1,-209,0.0092,0.0074,-0.3762,-5.956
2018/2/2,-70,0.0076,0.005,-0.182,-6.138
2018/2/5,-146,0.0051,0.0232,2.6426,-3.4954
2018/2/6,-481,0.0132,0.0331,9.5719,6.0765
2018/2/7,-856,0.011,0.0281,14.6376,20.7141
2018/2/8,-731,0.0176,0.0959,57.2373,77.9514
2018/2/9,-320,0.0364,0.0198,-5.312,72.6394
2018/2/12,-222,0.02,0.0094,-2.3532,70.2862
2018/2/13,-268,0.0148,0.0134,-0.3752,69.911
2018/2/14,-294,0.0137,0.002,-3.4398,66.4712
2018/2/22,-104,0.0078,0.0025,-0.5512,65.92
2018/2/23,-104,0.0026,0.0008,-0.1872,65.7328
2018/2/26,0,0.001,0.0008,0,65.7328
2018/2/27,-163,0.0046,0,-0.7498,64.983
2018/2/28,-79,0.0001,,-0.0079,64.9751
2018/3/1,-24,0.0246,0.0284,0.0912,65.0663
2018/3/2,-14,0.0187,0.015,-0.0518,65.0145
2018/3/5,0,0.0153,0.009,0,65.0145
2018/3/6,0,0.0144,0.0181,0,65.0145
2018/3/7,-2,0.0183,0.0122,-0.0122,65.0023
2018/3/8,-24,0.0123,0.0088,-0.084,64.9183
2018/3/9,0,0.0089,0.0079,0,64.9183
2018/3/12,-86,0.008,0.0127,0.4042,65.3225
2018/3/13,-95,0.0128,0.0109,-0.1805,65.142
2018/3/14,-50,0.0069,0.0037,-0.16,64.982
2018/3/15,-110,0.0062,0.0091,0.319,65.301
2018/3/16,-51,0.0053,0.0035,-0.0918,65.2092
2018/3/19,-158,0.0058,0.004,-0.2844,64.9248
2018/3/20,-167,0.0041,0.0053,0.2004,65.1252
2018/3/21,-146,0.0054,0.0039,-0.219,64.9062
2018/3/22,-64,0.0019,0.027,1.6064,66.5126
2018/3/23,-30,0.0156,0.005,-0.318,66.1946
2018/3/26,-7,0.0018,0.0001,-0.0119,66.1827
2018/3/27,0,0.0011,0.0001,0,66.1827
2018/3/28,0,0.0001,,0,66.1827
2018/3/29,-28,0.029,0.0306,0.0448,66.2275
2018/3/30,-32,0.0309,0.0321,0.0384,66.2659
2018/4/2,-32,0.0213,0.0205,-0.0256,66.2403
2018/4/3,-32,0.0207,0.0198,-0.0288,66.2115
2018/4/4,-32,0.0199,0.0141,-0.1856,66.0259
2018/4/9,-32,0.0143,0.0048,-0.304,65.7219
2018/4/10,-78,0.0155,0.0151,-0.0312,65.6907
2018/4/11,-78,0.0152,0.0199,0.3666,66.0573
2018/4/12,-34,0.0112,0.0137,0.085,66.1423
2018/4/13,-34,0.014,0.0241,0.3434,66.4857
2018/4/16,-20,0.0135,0.0168,0.066,66.5517
2018/4/17,-20,0.0095,0.0042,-0.106,66.4457
2018/4/18,-20,0.0043,0.0007,-0.072,66.3737
2018/4/19,-14,0.0023,0.001,-0.0182,66.3555
2018/4/23,-17,0.0011,0.0001,-0.017,66.3385
2018/4/24,0,0.0016,0,0,66.3385
2018/4/25,0,0.0001,,0,66.3385
2018/4/26,0,0.0142,0.0151,0,66.3385
2018/4/27,0,0.0152,0.0143,0,66.3385
2018/5/2,0,0.0144,0.013,0,66.3385
2018/5/3,0,0.0131,0.0156,0,66.3385
2018/5/4,0,0.0158,0.0083,0,66.3385
2018/5/7,0,0.0157,0.0081,0,66.3385
2018/5/8,0,0.0156,0.0128,0,66.3385
2018/5/9,0,0.0129,0.0074,0,66.3385
2018/5/10,-11,0.0076,,-0.0836,66.2549
