,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,volume
0,2017-12-01,2017-12-01 14:56:13,2.8426,10000960,0.0140514,0.0141,0.0146,0.207184,0.20744400000000002,0.21009499999999998,-0.16511800000000001,0.0018732,1.58742,-0.271433,-0.258395,-0.216979,0.03,0.0226613,0.07048650000000001,-0.19900199999999998,-1.17753,2.7,-0.783216,0,20171227,2.8355,0.0073,-19.0
1,2017-12-04,2017-12-04 14:56:11,2.8655,10000960,0.00742051,0.0073,0.0074,0.193901,0.192998,0.193748,-0.10776,0.00133904,1.32057,-0.20430399999999999,-0.210588,-0.180472,0.03,0.032216800000000004,0.0636871,-0.144803,-1.5223799999999998,2.7,-0.9407059999999999,0,20171227,2.8575,0.0025,0.0
2,2017-12-05,2017-12-05 14:56:04,2.9155,10001126,0.00465518,0.0048,0.0049,0.174035,0.175374,0.176288,-0.08067139999999999,0.00107342,1.19743,-0.151608,-0.204423,-0.176033,0.03,0.0198257,0.0605976,-0.118057,-1.5842399999999999,2.75,-0.959627,0,20171227,2.9135,0.0085,-287.0
3,2017-12-06,2017-12-06 14:56:01,2.8782,10001126,0.00846095,0.0085,0.0086,0.177251,0.17751199999999998,0.178179,-0.134437,0.00149372,1.7689400000000002,-0.226597,-0.23627399999999998,-0.201185,0.03,0.0213534,0.0575076,-0.169495,-1.53331,2.75,-0.768306,0,20171227,2.8725,0.0114,-338.0
4,2017-12-07,2017-12-07 14:56:11,2.8443,10000960,0.00572071,0.0055,0.0057,0.176995,0.175095,0.176818,-0.100905,0.00117151,1.5035,-0.19172999999999998,-0.202021,-0.174314,0.03,0.034806800000000006,0.0544163,-0.141454,-1.83237,2.7,-0.8882909999999999,0,20171227,2.8395,0.0025,-95.0
5,2017-12-08,2017-12-08 14:56:10,2.8726,10000960,0.00249356,0.0025,0.0026,0.169762,0.169854,0.171265,-0.0527544,0.000700158,0.973792,-0.117154,-0.159395,-0.13988599999999998,0.03,0.0395026,0.0513261,-0.0963849,-2.0393,2.7,-1.08545,0,20171227,2.8645,0.0012,-40.0
6,2017-12-11,2017-12-11 14:56:06,2.9036,10001126,0.00224223,0.0022,0.0023,0.159421,0.15878499999999998,0.160281,-0.0536102,0.000667626,1.11555,-0.122116,-0.16138,-0.142213,0.03,0.04713730000000002,0.044527,-0.0949591,-2.43922,2.75,-1.0158,0,20171227,2.8955,0.005,-27.0
7,2017-12-12,2017-12-12 14:56:15,2.8565,10000960,0.00214072,0.0015,0.0016,0.17073,0.159137,0.161108,-0.0507939,0.000607109,1.05175,-0.12526600000000002,-0.137776,-0.12254200000000001,0.03,0.031764999999999995,0.0414357,-0.092434,-2.56778,2.7,-1.1057700000000001,0,20171227,2.8495,0.0013,-369.0
8,2017-12-13,2017-12-13 14:56:10,2.8803,10001126,0.00287089,0.0028,0.003,0.159606,0.158674,0.161275,-0.0710051,0.0007652819999999999,1.50721,-0.164104,-0.162118,-0.14331,0.03,0.054086300000000004,0.038346,-0.115773,-2.89153,2.75,-0.926759,0,20171227,2.8735,0.0033,-458.0
9,2017-12-14,2017-12-14 14:56:00,2.8594,10000960,0.00125371,0.0013,0.0014,0.16783199999999998,0.168943,0.171265,-0.0347784,0.00041258099999999997,0.852784,-0.100112,-0.111473,-0.100491,0.03,0.049602099999999996,0.035256800000000005,-0.07996139999999999,-3.0634,2.7,-1.2072100000000001,0,20171227,2.85,0.0015,-401.0
10,2017-12-15,2017-12-15 14:56:16,2.8312,10000960,0.0019771,0.0015,0.0017,0.162331,0.153347,0.157279,-0.0557472,0.00057059,1.36333,-0.15165399999999998,-0.130689,-0.11726500000000001,0.03,0.0789691,0.03216479999999998,-0.106926,-3.65224,2.7,-1.02314,0,20171227,2.8215,0.0009,-256.0
11,2017-12-18,2017-12-18 14:56:10,2.8426,10000960,0.00109772,0.0009,0.001,0.17019,0.164278,0.167354,-0.0355457,0.00035405699999999996,1.01498,-0.130524,-0.0914627,-0.08372439999999999,0.03,0.14660399999999998,0.025365900000000004,-0.0811251,-4.76267,2.7,-1.21832,0,20171227,2.8275,0.0004,-66.0
12,2017-12-19,2017-12-19 14:56:06,2.8841,10001126,0.00113151,0.0012,0.0014,0.16751,0.169376,0.174505,-0.0386892,0.00036072,1.1621700000000001,-0.15473499999999998,-0.09155369999999999,-0.0841036,0.03,0.201562,0.022276,-0.08999249999999999,-5.806109999999999,2.75,-1.17359,0,20171227,2.8705,0.0008,0.0
13,2017-12-20,2017-12-20 14:56:02,2.8843,10001126,0.000785847,0.0008,0.0009,0.170017,0.170541,0.17408900000000002,-0.029657,0.00026906900000000004,0.991511,-0.135198,-0.07450330000000001,-0.0690843,0.03,0.21711399999999997,0.0191862,-0.0820084,-6.46131,2.75,-1.27326,0,20171227,2.8735,0.0005,-141.0
14,2017-12-21,2017-12-21 14:56:15,2.9072,10001126,0.0004883730000000001,0.0005,0.0006,0.196279,0.196973,0.202557,-0.0184011,0.000166257,0.622691,-0.114501,-0.0402682,-0.037937900000000004,0.03,0.275594,0.016094499999999998,-0.0617279,-5.8815800000000005,2.75,-1.62809,0,20171227,2.8925,0.0003,-437.0
15,2017-12-22,2017-12-22 14:56:08,2.8928,10001126,0.00037968199999999995,0.0003,0.0005,0.19478499999999999,0.1884,0.202942,-0.0163644,0.000134547,0.634699,-0.113382,-0.0343954,-0.0326125,0.03,0.29689299999999996,0.013005000000000001,-0.0634562,-7.099819999999999,2.75,-1.6539099999999998,0,20171227,2.8775,0.0002,-437.0
16,2017-12-25,2017-12-25 14:56:13,2.8928,10001090,0.000504735,0.0002,0.0003,0.187136,0.161933,0.171926,-0.030335300000000006,0.00015634200000000002,1.60893,-0.307809,-0.0350396,-0.0336172,0.03,0.851268,0.00620489,-0.0796208,-22.5183,2.8,-1.3969200000000002,0,20171227,2.8775,0.0001,-174.0
17,2017-12-26,2017-12-26 14:56:05,2.9041,10001091,0.00126616,0.0012,0.0013,0.191629,0.18903599999999998,0.192932,-0.0878742,0.000258296,5.12969,-1.15519,-0.0388793,-0.0375341,0.03,1.44415,0.00311549,-0.176378,-60.8196,2.85,-1.0318399999999999,0,20171227,2.8905,0.0249,-206.0
18,2017-12-27,2017-12-27 14:56:01,2.8287,10001090,0.00010019,0.0,0.0001,0.790721,0.0,0.790482,-0.0235079,7.96532e-06,4.88733,-18.0048,-1.7039e-11,-1.75231e-11,0.03,86.9439,2.5651999999999998e-05,-0.177022,-5959.54,2.8,-6.27263,0,20171227,2.8295,,-200.0
19,2017-12-28,2017-12-28 14:56:07,2.8587,10001136,0.00355732,0.0036,0.0038,0.155637,0.156065,0.15803699999999998,-0.066682,0.000994401,1.08074,-0.0939757,-0.23076999999999998,-0.195679,0.0669107,0.0,0.0723418,-0.09812080000000001,-1.02637,2.7,-0.9213959999999999,0,20180124,2.8535,0.0021,-448.0
20,2017-12-29,2017-12-29 14:56:11,2.861,10001136,0.0018204,0.0021,0.0022,0.138698,0.142655,0.143999,-0.042257800000000005,0.000678335,0.8628020000000001,-0.060171,-0.21937199999999998,-0.18698199999999998,0.0632185,0.0,0.06925110000000001,-0.0760543,-1.13046,2.7,-0.946926,0,20180124,2.8565,0.0009,-543.0
21,2018-01-02,2018-01-02 14:56:06,2.9111,10001128,0.00212534,0.002,0.0021,0.146553,0.144774,0.146198,-0.0480786,0.0007162910000000001,0.951758,-0.0808912,-0.203227,-0.175068,0.0418689,0.00159714,0.0605974,-0.08282260000000001,-1.4723,2.75,-0.964725,0,20180124,2.9075,0.0019,-338.0
22,2018-01-03,2018-01-03 14:56:05,2.9192,10001128,0.00206199,0.0019,0.002,0.152055,0.149614,0.151134,-0.0462889,0.0006786810000000001,0.9107850000000001,-0.0874468,-0.187912,-0.162971,0.03,0.013599700000000001,0.0575072,-0.0848835,-1.6880000000000002,2.75,-1.01168,0,20180124,2.9115,0.0015,-295.0
23,2018-01-04,2018-01-04 14:56:14,2.9223,10001128,0.00173027,0.0015,0.0017,0.153091,0.149048,0.152578,-0.0404647,0.000592897,0.833399,-0.08137430000000001,-0.173197,-0.151194,0.03,0.013296700000000002,0.054416,-0.0806003,-1.8137299999999998,2.75,-1.0576299999999998,0,20180124,2.9185,0.0012,-171.0
24,2018-01-05,2018-01-05 14:56:00,2.9371,10001100,0.0031836,0.0031,0.0032,0.146546,0.145628,0.146725,-0.0723931,0.000916374,1.41256,-0.130638,-0.21075100000000002,-0.18196700000000002,0.03,0.0294675,0.051316099999999996,-0.113195,-1.9067599999999998,2.8,-0.844577,0,20180124,2.9315,0.0022,-613.0
25,2018-01-08,2018-01-08 14:56:13,2.9465,10001100,0.00219101,0.0022,0.0024,0.153221,0.153353,0.156225,-0.0537359,0.0006788419999999999,1.14636,-0.114974,-0.171138,-0.150446,0.03,0.018714599999999998,0.0445159,-0.0929184,-2.31118,2.8,-0.9763780000000001,0,20180124,2.9425,0.0011,-582.0
26,2018-01-09,2018-01-09 14:56:08,2.9742,10001100,0.0010694,0.0011,0.0011,0.15650799999999998,0.15726700000000002,0.15726700000000002,-0.028955400000000006,0.00039984,0.697149,-0.0764897,-0.131455,-0.11736600000000001,0.03,0.0415415,0.041427,-0.07056110000000003,-2.56517,2.8,-1.17674,0,20180124,2.9695,0.0008,-672.0
27,2018-01-10,2018-01-10 14:56:14,2.9979,10001101,0.00190788,0.0019,0.002,0.156855,0.156723,0.158379,-0.0491453,0.000596941,1.1045399999999999,-0.12326500000000001,-0.15170999999999998,-0.134911,0.03,0.0381742,0.038337,-0.0932058,-2.8455,2.85,-1.0271700000000001,0,20180124,2.9939999999999998,0.0018,-315.0
28,2018-01-11,2018-01-11 14:56:12,2.9955,10001101,0.00194549,0.0018,0.002,0.162726,0.160173,0.163655,-0.0502445,0.000582147,1.13111,-0.134731,-0.139807,-0.12509800000000001,0.03,0.0327405,0.0352478,-0.09589639999999999,-3.09504,2.85,-1.05879,0,20180124,2.9905,0.0013,-368.0
29,2018-01-12,2018-01-12 14:56:06,3.0224,10001101,0.00144351,0.0013,0.0014,0.181061,0.177648,0.180048,-0.036495400000000004,0.000433257,0.814537,-0.12561,-0.10108099999999999,-0.09184099999999999,0.03,0.0634302,0.032159,-0.0829981,-3.3178300000000003,2.85,-1.28606,0,20180124,3.0165,0.001,-429.0
30,2018-01-15,2018-01-15 14:56:01,3.0454,10001102,0.00271085,0.003,0.0031,0.199967,0.20463499999999998,0.206196,-0.0634803,0.0006035109999999999,1.28314,-0.244351,-0.0995661,-0.0911023,0.03,0.06363669999999999,0.0253608,-0.105751,-4.41576,2.9,-1.20736,0,20180124,3.0435,0.0011,-642.0
31,2018-01-16,2018-01-16 14:56:08,3.0655,10001102,0.00112119,0.0011,0.0012,0.199817,0.199154,0.202221,-0.031167200000000006,0.000321216,0.768116,-0.14568599999999998,-0.0641681,-0.0595831,0.03,0.046952600000000004,0.0222707,-0.0686019,-4.2360000000000015,2.9,-1.47748,0,20180124,3.0585,0.0016,-667.0
32,2018-01-17,2018-01-17 14:56:16,3.0784,10001102,0.00161057,0.0016,0.0017,0.241211,0.240914,0.24368299999999998,-0.038533,0.00035627099999999996,0.812591,-0.23154,-0.0422068,-0.0396182,0.03,0.093798,0.0191804,-0.072259,-4.16275,2.9,-1.6889,0,20180124,3.0745,0.0009,-784.0
33,2018-01-18,2018-01-18 14:56:04,3.1073,10001103,0.00163081,0.0016,0.0017,0.239525,0.23864899999999997,0.241461,-0.0420011,0.000353371,0.9494940000000001,-0.262231,-0.0423009,-0.0398653,0.03,0.024594400000000002,0.0160923,-0.0790768,-5.0316,2.95,-1.6407900000000002,0,20180124,3.1035,0.002,-825.0
34,2018-01-19,2018-01-19 14:56:03,3.1139,10001103,0.00200307,0.002,0.0021,0.281805,0.28171799999999997,0.284519,-0.0476816,0.000352483,0.99205,-0.393495,-0.025599599999999997,-0.024373500000000003,0.03,0.10814700000000001,0.013003,-0.08107710000000001,-5.03399,2.95,-1.86106,0,20180124,3.1085,0.0004,-944.0
35,2018-01-22,2018-01-22 14:56:14,3.1296,10001104,0.00046035,0.0009,0.001,0.25998699999999997,0.290034,0.29551700000000003,-0.0194927,0.00011676299999999999,0.739202,-0.24699000000000002,-0.0101348,-0.00982607,0.03,0.0679554,0.00620307,-0.034691,-6.942989999999999,3.0,-2.13597,0,20180124,3.1265,0.0002,-594.0
36,2018-01-23,2018-01-23 14:56:06,3.1732,10001154,0.00166438,0.0011,0.0012,0.274753,0.25009000000000003,0.254866,-0.07574960000000001,0.000252497,2.9303,-1.22758,-0.0210043,-0.0204351,0.03,0.504012,0.00311452,-0.12339100000000001,-32.7366,3.1,-1.56692,0,20180124,3.1675,0.0,-101.0
37,2018-01-24,2018-01-24 14:56:02,3.1656,10001154,5.6121400000000005e-15,0.0,0.0001,0.577308,0.0,1.0,-4.34481e-12,4.82546e-15,3.2516000000000002e-09,-5.95639e-09,0.0,0.0,0.03,38.3067,2.55447e-05,-1.0966600000000002e-09,-4.2582e-05,3.1,-15.7627,0,20180124,3.1655,,-101.0
38,2018-01-25,2018-01-25 14:56:07,3.1496,10001161,0.0145935,0.0151,0.0152,0.183199,0.18543800000000002,0.185877,-0.159518,0.00224998,1.43056,-0.216714,-0.344292,-0.282316,0.041447500000000005,0.0,0.0865438,-0.187066,-0.648225,3.0,-0.710444,0,20180228,3.1465,0.0077,-317.0
