,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
0,2017-12-01,-0.1307,-0.1283,-0.1258,-0.1234,-0.1209,-0.1335,-0.1311,-0.1286,-0.1262,-0.1238,-0.1363,-0.1339,-0.1315,-0.129,-0.1266,-0.1392,-0.1367,-0.1343,-0.1318,-0.1294,-0.142,-0.1395,-0.1371,-0.1346,-0.1322
1,2017-12-04,-0.1307,-0.1283,-0.1258,-0.1234,-0.1209,-0.1335,-0.1311,-0.1286,-0.1262,-0.1238,-0.1363,-0.1339,-0.1315,-0.129,-0.1266,-0.1392,-0.1367,-0.1343,-0.1318,-0.1294,-0.142,-0.1395,-0.1371,-0.1346,-0.1322
2,2017-12-05,0.6496,0.6844,0.7192,0.754,0.7888,0.6085,0.6433,0.6781,0.7129,0.7476,0.5674,0.6022,0.637,0.6718,0.7065,0.5263,0.5611,0.5959,0.6306,0.6654,0.4852,0.52,0.5547,0.5895,0.6243
3,2017-12-06,1.338,1.4242,1.5104,1.5966,1.6827,1.2232,1.3093,1.3955,1.4817,1.5679,1.1083,1.1945,1.2807,1.3668,1.453,0.9934,1.0796,1.1658,1.252,1.3381,0.8786,0.9647,1.0509,1.1371,1.2233
4,2017-12-07,0.8439,0.9397,1.0354,1.1311,1.2269,0.7172,0.8129,0.9087,1.0044,1.1002,0.5905,0.6862,0.7819,0.8777,0.9734,0.4637,0.5595,0.6552,0.751,0.8467,0.337,0.4328,0.5285,0.6242,0.72
5,2017-12-08,0.7632,0.8608,0.9584,1.056,1.1536,0.6345,0.7321,0.8297,0.9273,1.0249,0.5058,0.6034,0.701,0.7986,0.8962,0.377,0.4746,0.5722,0.6698,0.7674,0.2483,0.3459,0.4435,0.5411,0.6387
6,2017-12-11,0.7915,0.8911,0.9907,1.0903,1.1899,0.6601,0.7597,0.8594,0.959,1.0586,0.5288,0.6284,0.728,0.8276,0.9272,0.3974,0.497,0.5966,0.6962,0.7959,0.266,0.3656,0.4653,0.5649,0.6645
7,2017-12-12,0.302,0.4197,0.5374,0.6552,0.7729,0.1485,0.2663,0.384,0.5017,0.6194,-0.0049,0.1128,0.2305,0.3482,0.4659,-0.1584,-0.0407,0.077,0.1947,0.3125,-0.3119,-0.1942,-0.0764,0.0413,0.159
8,2017-12-13,0.4245,0.5731,0.7217,0.8703,1.0188,0.2275,0.3761,0.5247,0.6732,0.8218,0.0305,0.179,0.3276,0.4762,0.6248,-0.1666,-0.018,0.1306,0.2792,0.4278,-0.3636,-0.215,-0.0664,0.0822,0.2308
9,2017-12-14,0.7988,0.9771,1.1554,1.3337,1.512,0.5542,0.7325,0.9108,1.0891,1.2674,0.3096,0.4879,0.6662,0.8445,1.0228,0.065,0.2433,0.4216,0.5999,0.7782,-0.1796,-0.0013,0.177,0.3553,0.5336
10,2017-12-15,0.3703,0.561,0.7516,0.9423,1.133,0.1055,0.2961,0.4868,0.6775,0.8682,-0.1593,0.0313,0.222,0.4127,0.6034,-0.4241,-0.2335,-0.0428,0.1479,0.3386,-0.6889,-0.4983,-0.3076,-0.1169,0.0738
11,2017-12-18,0.3231,0.5149,0.7067,0.8985,1.0903,0.0568,0.2486,0.4404,0.6322,0.824,-0.2095,-0.0177,0.1741,0.3659,0.5577,-0.4757,-0.284,-0.0922,0.0996,0.2914,-0.742,-0.5502,-0.3584,-0.1667,0.0251
12,2017-12-19,0.3231,0.5149,0.7067,0.8985,1.0903,0.0568,0.2486,0.4404,0.6322,0.824,-0.2095,-0.0177,0.1741,0.3659,0.5577,-0.4757,-0.284,-0.0922,0.0996,0.2914,-0.742,-0.5502,-0.3584,-0.1667,0.0251
13,2017-12-20,0.2937,0.4874,0.6812,0.8749,1.0687,0.0244,0.2181,0.4119,0.6056,0.7994,-0.245,-0.0512,0.1425,0.3363,0.53,-0.5143,-0.3206,-0.1268,0.0669,0.2607,-0.7837,-0.5899,-0.3962,-0.2024,-0.0087
14,2017-12-21,0.2057,0.4051,0.6045,0.8039,1.0033,-0.0734,0.126,0.3254,0.5248,0.7242,-0.3526,-0.1532,0.0462,0.2456,0.445,-0.6318,-0.4324,-0.2329,-0.0335,0.1659,-0.9109,-0.7115,-0.5121,-0.3127,-0.1133
15,2017-12-22,0.125,0.3266,0.5283,0.7299,0.9315,-0.1593,0.0423,0.2439,0.4456,0.6472,-0.4437,-0.242,-0.0404,0.1612,0.3629,-0.728,-0.5264,-0.3247,-0.1231,0.0786,-1.0123,-0.8107,-0.609,-0.4074,-0.2058
16,2017-12-25,0.0942,0.2961,0.4981,0.7001,0.902,-0.1911,0.0109,0.2128,0.4148,0.6167,-0.4764,-0.2744,-0.0725,0.1295,0.3314,-0.7617,-0.5597,-0.3578,-0.1558,0.0461,-1.0469,-0.845,-0.643,-0.4411,-0.2391
17,2017-12-26,1.7143,1.9164,2.1184,2.3204,2.5224,1.3334,1.5355,1.7375,1.9395,2.1415,0.9525,1.1545,1.3566,1.5586,1.7606,0.5716,0.7736,0.9756,1.1777,1.3797,0.1907,0.3927,0.5947,0.7968,0.9988
18,2017-12-27,1.7143,1.9164,2.1184,2.3204,2.5224,1.3334,1.5355,1.7375,1.9395,2.1415,0.9525,1.1545,1.3566,1.5586,1.7606,0.5716,0.7736,0.9756,1.1777,1.3797,0.1907,0.3927,0.5947,0.7968,0.9988
19,2017-12-28,1.0322,1.2635,1.4947,1.726,1.9572,0.6253,0.8566,1.0878,1.319,1.5503,0.2184,0.4496,0.6809,0.9121,1.1434,-0.1885,0.0427,0.2739,0.5052,0.7364,-0.5955,-0.3642,-0.133,0.0983,0.3295
20,2017-12-29,0.5149,0.7637,1.0125,1.2613,1.51,0.0936,0.3424,0.5912,0.84,1.0888,-0.3276,-0.0789,0.1699,0.4187,0.6675,-0.7489,-0.5001,-0.2514,-0.0026,0.2462,-1.1702,-0.9214,-0.6727,-0.4239,-0.1751
21,2018-01-02,0.5003,0.7641,1.0279,1.2917,1.5555,0.0653,0.3291,0.5929,0.8567,1.1205,-0.3697,-0.1059,0.1579,0.4217,0.6855,-0.8047,-0.5409,-0.2771,-0.0133,0.2506,-1.2397,-0.9759,-0.7121,-0.4482,-0.1844
22,2018-01-03,0.3553,0.6332,0.9112,1.1891,1.467,-0.0931,0.1849,0.4628,0.7407,1.0186,-0.5415,-0.2635,0.0144,0.2923,0.5702,-0.9898,-0.7119,-0.434,-0.1561,0.1218,-1.4382,-1.1603,-0.8824,-0.6045,-0.3266
23,2018-01-04,0.2577,0.5426,0.8275,1.1124,1.3972,-0.1972,0.0877,0.3726,0.6574,0.9423,-0.6521,-0.3672,-0.0824,0.2025,0.4874,-1.107,-0.8221,-0.5373,-0.2524,0.0325,-1.5619,-1.2771,-0.9922,-0.7073,-0.4224
24,2018-01-05,-0.0479,0.2612,0.5702,0.8793,1.1884,-0.528,-0.219,0.0901,0.3992,0.7082,-1.0081,-0.6991,-0.39,-0.081,0.2281,-1.4883,-1.1792,-0.8701,-0.5611,-0.252,-1.9684,-1.6593,-1.3503,-1.0412,-0.7322
25,2018-01-08,-0.4993,-0.1722,0.1549,0.482,0.8091,-0.9976,-0.6705,-0.3434,-0.0163,0.3108,-1.4959,-1.1689,-0.8418,-0.5147,-0.1876,-1.9943,-1.6672,-1.3401,-1.013,-0.6859,-2.4926,-2.1655,-1.8384,-1.5113,-1.1842
26,2018-01-09,-0.7001,-0.3532,-0.0063,0.3407,0.6876,-1.2187,-0.8718,-0.5248,-0.1779,0.169,-1.7373,-1.3903,-1.0434,-0.6965,-0.3495,-2.2558,-1.9089,-1.562,-1.2151,-0.8681,-2.7744,-2.4275,-2.0806,-1.7336,-1.3867
27,2018-01-10,-0.7732,-0.415,-0.0567,0.3015,0.6598,-1.3047,-0.9465,-0.5882,-0.23,0.1282,-1.8362,-1.478,-1.1198,-0.7615,-0.4033,-2.3678,-2.0095,-1.6513,-1.293,-0.9348,-2.8993,-2.541,-2.1828,-1.8245,-1.4663
28,2018-01-11,-0.9595,-0.5884,-0.2173,0.1537,0.5248,-1.5061,-1.135,-0.7639,-0.3928,-0.0218,-2.0527,-1.6816,-1.3105,-0.9394,-0.5683,-2.5993,-2.2282,-1.8571,-1.486,-1.1149,-3.1458,-2.7748,-2.4037,-2.0326,-1.6615
29,2018-01-12,-1.1635,-0.7787,-0.3939,-0.0091,0.3757,-1.7279,-1.3431,-0.9583,-0.5735,-0.1887,-2.2923,-1.9075,-1.5228,-1.138,-0.7532,-2.8568,-2.472,-2.0872,-1.7024,-1.3176,-3.4212,-3.0364,-2.6516,-2.2668,-1.882
30,2018-01-15,-1.8118,-1.4129,-1.0141,-0.6152,-0.2164,-2.3946,-1.9958,-1.5969,-1.1981,-0.7993,-2.9775,-2.5787,-2.1798,-1.781,-1.3821,-3.5604,-3.1615,-2.7627,-2.3639,-1.965,-4.1433,-3.7444,-3.3456,-2.9467,-2.5479
31,2018-01-16,-1.5943,-1.1761,-0.7579,-0.3397,0.0785,-2.2064,-1.7882,-1.37,-0.9518,-0.5336,-2.8184,-2.4002,-1.982,-1.5638,-1.1456,-3.4305,-3.0123,-2.5941,-2.1759,-1.7577,-4.0425,-3.6243,-3.2061,-2.7879,-2.3697
32,2018-01-17,-2.1672,-1.7331,-1.2991,-0.865,-0.4309,-2.8035,-2.3694,-1.9353,-1.5013,-1.0672,-3.4398,-3.0057,-2.5716,-2.1376,-1.7035,-4.0761,-3.642,-3.2079,-2.7739,-2.3398,-4.7124,-4.2783,-3.8442,-3.4101,-2.9761
33,2018-01-18,-2.1493,-1.6965,-1.2438,-0.7911,-0.3383,-2.8191,-2.3664,-1.9137,-1.4609,-1.0082,-3.489,-3.0363,-2.5835,-2.1308,-1.6781,-4.1589,-3.7062,-3.2534,-2.8007,-2.348,-4.8288,-4.376,-3.9233,-3.4706,-3.0178
34,2018-01-19,-3.3605,-2.9032,-2.446,-1.9887,-1.5315,-4.0399,-3.5826,-3.1254,-2.6681,-2.2109,-4.7192,-4.262,-3.8047,-3.3475,-2.8902,-5.3986,-4.9413,-4.4841,-4.0268,-3.5696,-6.0779,-5.6207,-5.1635,-4.7062,-4.249
35,2018-01-22,-3.4213,-2.963,-2.5047,-2.0464,-1.588,-4.1036,-3.6453,-3.187,-2.7286,-2.2703,-4.7859,-4.3276,-3.8693,-3.4109,-2.9526,-5.4682,-5.0099,-4.5515,-4.0932,-3.6349,-6.1505,-5.6922,-5.2338,-4.7755,-4.3172
36,2018-01-23,-3.4802,-3.0219,-2.5636,-2.1053,-1.6469,-4.1625,-3.7042,-3.2459,-2.7875,-2.3292,-4.8448,-4.3865,-3.9282,-3.4698,-3.0115,-5.5271,-5.0688,-4.6105,-4.1521,-3.6938,-6.2094,-5.7511,-5.2927,-4.8344,-4.3761
37,2018-01-24,-3.4802,-3.0219,-2.5636,-2.1053,-1.6469,-4.1625,-3.7042,-3.2459,-2.7875,-2.3292,-4.8448,-4.3865,-3.9282,-3.4698,-3.0115,-5.5271,-5.0688,-4.6105,-4.1521,-3.6938,-6.2094,-5.7511,-5.2927,-4.8344,-4.3761
38,2018-01-25,-5.7146,-5.2071,-4.6997,-4.1923,-3.6849,-6.4404,-5.933,-5.4255,-4.9181,-4.4107,-7.1662,-6.6588,-6.1514,-5.644,-5.1365,-7.892,-7.3846,-6.8772,-6.3698,-5.8624,-8.6178,-8.1104,-7.603,-7.0956,-6.5882
39,2018-01-26,-3.2298,-2.6511,-2.0724,-1.4938,-0.9151,-4.0364,-3.4578,-2.8791,-2.3004,-1.7217,-4.8431,-4.2644,-3.6857,-3.107,-2.5283,-5.6497,-5.071,-4.4923,-3.9137,-3.335,-6.4563,-5.8776,-5.299,-4.7203,-4.1416
40,2018-01-29,-1.9335,-1.2579,-0.5823,0.0933,0.7689,-2.8607,-2.1851,-1.5095,-0.8339,-0.1583,-3.7878,-3.1122,-2.4366,-1.761,-1.0854,-4.715,-4.0394,-3.3638,-2.6882,-2.0126,-5.6421,-4.9665,-4.2909,-3.6153,-2.9397
41,2018-01-30,-3.0586,-2.3374,-1.6162,-0.895,-0.1739,-4.0328,-3.3116,-2.5904,-1.8692,-1.1481,-5.007,-4.2858,-3.5646,-2.8434,-2.1223,-5.9812,-5.26,-4.5388,-3.8176,-3.0965,-6.9553,-6.2342,-5.513,-4.7918,-4.0707
42,2018-01-31,-3.7276,-2.9803,-2.233,-1.4857,-0.7384,-4.7246,-3.9773,-3.23,-2.4827,-1.7354,-5.7217,-4.9744,-4.2271,-3.4798,-2.7325,-6.7188,-5.9715,-5.2241,-4.4768,-3.7295,-7.7158,-6.9685,-6.2212,-5.4739,-4.7266
43,2018-02-01,-3.8882,-3.1209,-2.3536,-1.5863,-0.8189,-4.9043,-4.137,-3.3697,-2.6024,-1.835,-5.9205,-5.1531,-4.3858,-3.6185,-2.8512,-6.9366,-6.1692,-5.4019,-4.6346,-3.8673,-7.9527,-7.1853,-6.418,-5.6507,-4.8834
44,2018-02-02,-4.5023,-3.7082,-2.9141,-2.1199,-1.3258,-5.5442,-4.7501,-3.9559,-3.1618,-2.3676,-6.5861,-5.7919,-4.9978,-4.2037,-3.4095,-7.628,-6.8338,-6.0397,-5.2455,-4.4514,-8.6698,-7.8757,-7.0815,-6.2874,-5.4933
45,2018-02-05,4.521,5.4221,6.3231,7.2242,8.1252,3.3175,4.2186,5.1196,6.0207,6.9218,2.114,3.0151,3.9161,4.8172,5.7183,0.9105,1.8116,2.7126,3.6137,4.5148,-0.293,0.6081,1.5091,2.4102,3.3113
46,2018-02-06,17.1328,18.1535,19.1743,20.195,21.2158,15.6761,16.6968,17.7175,18.7383,19.759,14.2193,15.2401,16.2608,17.2815,18.3023,12.7626,13.7833,14.8041,15.8248,16.8456,11.3059,12.3266,13.3473,14.3681,15.3888
47,2018-02-07,44.6558,45.874,47.0922,48.3105,49.5287,42.6691,43.8873,45.1055,46.3237,47.5419,40.6824,41.9006,43.1188,44.337,45.5552,38.6956,39.9138,41.132,42.3502,43.5684,36.7089,37.9271,39.1453,40.3635,41.5817
